project,sentence,component,component_id,gold,approach_runs,approach_forms,noknow_runs,artemis_runs,swattr,surface,matched,text
mediastore,16,ParallelWatermarking,_S-lawHDqEeSqnN80MQ2uGw2,0,0,,0,2,0,none,,The re-encoded files are then digitally and individually watermarked by the TagWatermarking component.
mediastore,16,TagWatermarking,_h_QpkLhEEeSNPorBlo7x9g,1,3,full_name,3,3,1,canonical,TagWatermarking,The re-encoded files are then digitally and individually watermarked by the TagWatermarking component.
mediastore,17,AudioWatermarking,_S-lawHDqEeSqnN80MQ2uGw,0,0,,0,2,0,none,,"Afterward, the MediaManagement component forwards these audio files from the TagWatermarking component to the user."
mediastore,17,ParallelWatermarking,_S-lawHDqEeSqnN80MQ2uGw2,0,0,,0,2,0,none,,"Afterward, the MediaManagement component forwards these audio files from the TagWatermarking component to the user."
mediastore,17,TagWatermarking,_h_QpkLhEEeSNPorBlo7x9g,1,3,full_name,3,3,1,canonical,TagWatermarking,"Afterward, the MediaManagement component forwards these audio files from the TagWatermarking component to the user."
mediastore,17,MediaManagement,_p_EeYHDrEeSqnN80MQ2uGw,1,3,full_name,3,3,1,canonical,MediaManagement,"Afterward, the MediaManagement component forwards these audio files from the TagWatermarking component to the user."
mediastore,19,Packaging,_B5geQHDsEeSqnN80MQ2uGw,1,3,full_name,3,3,1,canonical,Packaging,"To allow users to download several files at a time, we provide the Packaging component, which archives multiple audio files into a single compressed file."
mediastore,20,Reencoding,_o10-YHDrEeSqnN80MQ2uGw,1,3,full_name,0,3,0,alias,ReEncoder,The ReEncoder component converts the bit rates of audio files.
mediastore,21,Reencoding,_o10-YHDrEeSqnN80MQ2uGw,0,0,,0,2,0,none,,This can result in reduction of file sizes.
mediastore,23,DB,_5LN7MLg2EeSNPorBlo7x9g,1,3,full_name,0,3,0,alias,Database,"The Database component represents an actual database (e.g., MySQL)."
mediastore,24,DB,_5LN7MLg2EeSNPorBlo7x9g,1,3,coreference,0,3,0,none,,It stores user information and meta-data of audio files such as the name and the genre.
mediastore,25,DB,_5LN7MLg2EeSNPorBlo7x9g,1,3,full_name,0,3,0,alias,Database,"After the user calls the page to list all available audio files, AudioAccess creates a query that is sent to the Database component."
mediastore,25,MediaAccess,_9eK7YHDrEeSqnN80MQ2uGw,1,2,full_name,0,3,0,none,,"After the user calls the page to list all available audio files, AudioAccess creates a query that is sent to the Database component."
mediastore,26,MediaAccess,_9eK7YHDrEeSqnN80MQ2uGw,1,3,full_name,3,3,1,canonical,MediaAccess,"When a user uploads an audio file, the MediaAccess component stores it at the predefined location."
mediastore,27,DB,_5LN7MLg2EeSNPorBlo7x9g,0,2,full_name,0,0,0,alias,Database,The MediaAccess component encapsulates database access for meta-data of audio files.
mediastore,27,MediaAccess,_9eK7YHDrEeSqnN80MQ2uGw,1,3,full_name,3,3,1,canonical,MediaAccess,The MediaAccess component encapsulates database access for meta-data of audio files.
mediastore,28,MediaAccess,_9eK7YHDrEeSqnN80MQ2uGw,1,3,coreference,3,3,0,none,,"Furthermore, it fetches a list of all available audio files."
mediastore,29,DB,_5LN7MLg2EeSNPorBlo7x9g,0,2,full_name,0,0,0,alias,Database,"By contrast, the UserDBAdapter component provides all functions required in order to encapsulate database access for the user data."
mediastore,29,UserDBAdapter,_tBjC0HDpEeSqnN80MQ2uGw,1,3,full_name,3,3,1,canonical,UserDBAdapter,"By contrast, the UserDBAdapter component provides all functions required in order to encapsulate database access for the user data."
mediastore,30,UserDBAdapter,_tBjC0HDpEeSqnN80MQ2uGw,1,3,full_name,3,3,1,canonical,UserDBAdapter,The UserDBAdapter component creates a query based on the user's request.
mediastore,31,DB,_5LN7MLg2EeSNPorBlo7x9g,1,3,full_name,0,3,0,alias,Database,The Database component then executes the actual query for files.
mediastore,32,DB,_5LN7MLg2EeSNPorBlo7x9g,1,3,full_name,0,3,0,alias,Database,All salted hashes of passwords are also stored in the Database component.
mediastore,33,DB,_5LN7MLg2EeSNPorBlo7x9g,1,3,full_name,0,0,0,alias,Database,"By contrast, all audio files are stored in a specific location (e.g., a dedicated file server or a local disk) to decouple the DataStorage from the database."
mediastore,33,FileStorage,_qxAiILg7EeSNPorBlo7x9g,1,2,full_name,0,3,0,none,,"By contrast, all audio files are stored in a specific location (e.g., a dedicated file server or a local disk) to decouple the DataStorage from the database."
mediastore,34,DB,_5LN7MLg2EeSNPorBlo7x9g,1,3,full_name,0,3,0,alias,Database,"When a user requests files to download, the MediaAccess component fetches the associated meta-data from the Database."
mediastore,34,MediaAccess,_9eK7YHDrEeSqnN80MQ2uGw,1,3,full_name,3,3,1,canonical,MediaAccess,"When a user requests files to download, the MediaAccess component fetches the associated meta-data from the Database."
mediastore,35,FileStorage,_qxAiILg7EeSNPorBlo7x9g,1,2,full_name,0,3,0,none,,"Afterwards, based on the user request and the corresponding meta-data, the file will be retrieved from the DataStorage."
mediastore,36,FileStorage,_qxAiILg7EeSNPorBlo7x9g,1,2,full_name,0,3,0,none,,"When a user uploads a file, it will be stored in the DataStorage without any change."
mediastore,37,Reencoding,_o10-YHDrEeSqnN80MQ2uGw,0,0,,0,0,1,none,,"However, a download can cause re-encoding of the audio file."
teastore,1,Registry,_dhM6oDVXEeqPG_FgW3bi6Q,1,3,full_name,3,3,1,canonical,Registry,The TeaStore consists of 5 replicatable services and a single Registry instance.
teastore,2,WebUI,_bC13QDVWEeqPG_FgW3bi6Q,1,3,full_name,3,3,1,canonical,WebUI,The WebUI service retrieves images from the Image Provider.
teastore,2,ImageProvider,_yA04AKTKEeqKjI323B3R3w,1,3,full_name,0,3,1,alias,Image Provider,The WebUI service retrieves images from the Image Provider.
teastore,3,Auth,_AiuxcDVdEeqPG_FgW3bi6Q,1,3,full_name,3,3,1,canonical,Auth,Users are authenticated by the Auth service.
teastore,4,WebUI,_bC13QDVWEeqPG_FgW3bi6Q,0,0,,0,2,0,none,,Data is retrieved from the PersistenceProvider and product recommendations from the Recommender service.
teastore,4,Persistence,_lnx1oDVWEeqPG_FgW3bi6Q,1,3,full_name,0,3,1,alias,PersistenceProvider,Data is retrieved from the PersistenceProvider and product recommendations from the Recommender service.
teastore,4,Recommender,_m3fxEDVWEeqPG_FgW3bi6Q,1,3,full_name,3,3,1,canonical,Recommender,Data is retrieved from the PersistenceProvider and product recommendations from the Recommender service.
teastore,5,WebUI,_bC13QDVWEeqPG_FgW3bi6Q,1,3,full_name,3,3,1,canonical,WebUI,The WebUI provides the TeaStore front-end using Servlets in combination with JSP files.
teastore,6,WebUI,_bC13QDVWEeqPG_FgW3bi6Q,1,3,coreference,3,3,0,none,,It contains logic to save and retireve values from cookies.
teastore,7,WebUI,_bC13QDVWEeqPG_FgW3bi6Q,1,3,full_name,3,3,1,canonical,WebUI,"Images (with few exceptions) are not provides by the WebUi, but are retrieved from the Image Provider service instead."
teastore,7,ImageProvider,_yA04AKTKEeqKjI323B3R3w,1,3,full_name,0,3,1,alias,Image Provider,"Images (with few exceptions) are not provides by the WebUi, but are retrieved from the Image Provider service instead."
teastore,8,WebUI,_bC13QDVWEeqPG_FgW3bi6Q,1,3,full_name,1,3,0,alias,UI,The UI provides a status page at link indicating the current state of the TeaStore.
teastore,9,WebUI,_bC13QDVWEeqPG_FgW3bi6Q,0,0,,0,3,0,none,,The status view lists the instance count and hosts for all registered service instances.
teastore,10,WebUI,_bC13QDVWEeqPG_FgW3bi6Q,1,3,full_name,3,1,1,canonical,WebUI,The Image Provider delivers images to the WebUI as base64 encoded strings to embed them in the final HTML.
teastore,10,ImageProvider,_yA04AKTKEeqKjI323B3R3w,1,3,full_name,0,3,1,alias,Image Provider,The Image Provider delivers images to the WebUI as base64 encoded strings to embed them in the final HTML.
teastore,11,ImageProvider,_yA04AKTKEeqKjI323B3R3w,1,3,coreference,0,3,0,none,,It matches the provided product ID or UI name (the filename for images not representing a product and therefore without product ID) and the image size to a unique image identifier.
teastore,12,ImageProvider,_yA04AKTKEeqKjI323B3R3w,1,3,full_name,0,3,1,alias,Image Provider,"If the product ID or UI name is not available to the Image Provider, a standard ""not found"" image will be delivered in the correct size."
teastore,13,ImageProvider,_yA04AKTKEeqKjI323B3R3w,0,0,,0,3,0,none,,"If the product ID or UI name is found but not in the requested size, the largest image will be loaded and scaled."
teastore,14,ImageProvider,_yA04AKTKEeqKjI323B3R3w,0,0,,0,3,0,none,,The scaled image is stored for later use.
teastore,15,ImageProvider,_yA04AKTKEeqKjI323B3R3w,0,0,,0,3,0,none,,"If the product ID or UI name and size is found, the image will be loaded and delivered."
teastore,16,ImageProvider,_yA04AKTKEeqKjI323B3R3w,0,0,,0,3,0,none,,"To speed up image delivery, an in-memory cache with Least Frequently Used (LFU) replacemenent strategy is in place."
teastore,17,ImageProvider,_yA04AKTKEeqKjI323B3R3w,0,0,,0,3,0,none,,"Before loading an image from the physical drive, a cache lookup will be performed and if the image is present, delivered directly from cache or from the physical drive otherwise."
teastore,18,Auth,_AiuxcDVdEeqPG_FgW3bi6Q,1,3,full_name,3,3,1,canonical,Auth,The Auth service handles user and session authentication.
teastore,19,Auth,_AiuxcDVdEeqPG_FgW3bi6Q,0,0,,0,3,0,none,,Passwords are hashed using BCrypt.
teastore,20,Auth,_AiuxcDVdEeqPG_FgW3bi6Q,0,0,,0,3,0,none,,"To validate sessions, the SessionBlob is salted and hashed using SHA512 and stored in a cookie."
teastore,21,Auth,_AiuxcDVdEeqPG_FgW3bi6Q,0,0,,0,3,0,none,,"When a SessionBlob is received, the cookie content is re-salted and checked against the hash to check for session tampering."
teastore,22,Persistence,_lnx1oDVWEeqPG_FgW3bi6Q,1,3,full_name,3,3,1,canonical,Persistence,The Persistence service provides access to the data persisted in the relational database back-end.
teastore,23,Persistence,_lnx1oDVWEeqPG_FgW3bi6Q,1,3,coreference,3,3,0,none,,It maps the relational entities to the JSON entity objects passed between services using the EclipseLink JPA ORM mapper.
teastore,24,Persistence,_lnx1oDVWEeqPG_FgW3bi6Q,1,3,coreference,3,3,0,none,,"It features endpoints for general CRUD-Operations (Create, Read, Update, Delete) for the persistent entities."
teastore,25,Persistence,_lnx1oDVWEeqPG_FgW3bi6Q,1,3,full_name,3,3,1,canonical,Persistence,The persistence provider uses a second level entity cache provided by the JPA implementation.
teastore,26,Persistence,_lnx1oDVWEeqPG_FgW3bi6Q,1,3,coreference,3,3,0,none,,"As such, it also acts as a caching layer."
teastore,27,Recommender,_m3fxEDVWEeqPG_FgW3bi6Q,1,3,full_name,3,3,1,canonical,Recommender,The Recommender is used to generate individual product recommendations for each user.
teastore,28,Recommender,_m3fxEDVWEeqPG_FgW3bi6Q,1,3,coreference,3,3,0,none,,It is trained using all existing orders.
teastore,29,Recommender,_m3fxEDVWEeqPG_FgW3bi6Q,0,0,,0,3,0,none,,"Recommendations are generated based on the users current shopping cart, the user's previous orders and/or the item the user is currently looking at."
teastore,30,Recommender,_m3fxEDVWEeqPG_FgW3bi6Q,0,0,,0,3,0,none,,The item rating of the users are based on their purchases.
teastore,31,Recommender,_m3fxEDVWEeqPG_FgW3bi6Q,0,0,,0,3,0,none,,"If the current user is unknown (e.g., if the user is not logged in or did not purchase anything yet), a fallback algorithm based on the general item popularity is chosen."
teastore,32,Recommender,_m3fxEDVWEeqPG_FgW3bi6Q,0,0,,0,3,0,none,,"If the user is known, Slope One as item-based collaborative filtering is applied to calculate the recommendations."
teastore,33,Recommender,_m3fxEDVWEeqPG_FgW3bi6Q,0,0,,0,3,0,none,,We implemented two versions of the algorithm.
teastore,34,Recommender,_m3fxEDVWEeqPG_FgW3bi6Q,0,0,,0,3,0,none,,"One CPU-intensive, calculating the item-rankings per user on-the-go and one memory-intensive, calculating the total user rating prediction matrix during the training phase."
teastore,35,Recommender,_m3fxEDVWEeqPG_FgW3bi6Q,0,0,,0,3,0,none,,"Furthermore, one order-based nearest-neighbor approach is available."
teastore,36,Recommender,_m3fxEDVWEeqPG_FgW3bi6Q,0,0,,0,3,0,none,,Its recommendation time is dependent on the number of items in the current cart as well as the total number of stored orders.
teastore,37,Registry,_dhM6oDVXEeqPG_FgW3bi6Q,1,3,full_name,3,3,1,canonical,Registry,The Registry provides information about how many service instances are online for each service and where they are located.
teastore,38,Registry,_dhM6oDVXEeqPG_FgW3bi6Q,1,3,full_name,3,3,1,canonical,Registry,Service instances register themselves at the registry on startup.
teastore,39,Registry,_dhM6oDVXEeqPG_FgW3bi6Q,0,0,,0,3,0,none,,Services are also required to send a heartbeat signal by re-registering periodically.
teastore,40,Registry,_dhM6oDVXEeqPG_FgW3bi6Q,0,0,,0,3,0,none,,Services missing their heartbeat for more than 10 s are assumed to be offline until the register function is called again.
teastore,41,Registry,_dhM6oDVXEeqPG_FgW3bi6Q,1,3,full_name,3,3,1,canonical,Registry,Every running instance of the TeaStore uses one single registry.
teastore,43,Registry,_dhM6oDVXEeqPG_FgW3bi6Q,1,3,full_name,3,3,1,canonical,Registry,"By limiting it to a single registry instance, it enables easy configuration of multiple parallel TeaStores with minimal configuration overhead."
teammates,1,UI,_1lMqsKESEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,UI,"Architecture contains UI Component, Logic Component, Storage Component, Common Component, Test Driver Component, E2E Component, Client Component."
teammates,1,Logic,_3LCnIKESEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,Logic,"Architecture contains UI Component, Logic Component, Storage Component, Common Component, Test Driver Component, E2E Component, Client Component."
teammates,1,Storage,_9JlCIKESEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,Storage,"Architecture contains UI Component, Logic Component, Storage Component, Common Component, Test Driver Component, E2E Component, Client Component."
teammates,1,Test Driver,_Bae2oKETEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,Test Driver,"Architecture contains UI Component, Logic Component, Storage Component, Common Component, Test Driver Component, E2E Component, Client Component."
teammates,1,E2E,_EIoe8KETEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,E2E,"Architecture contains UI Component, Logic Component, Storage Component, Common Component, Test Driver Component, E2E Component, Client Component."
teammates,1,Client,_GaP8QKETEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,Client,"Architecture contains UI Component, Logic Component, Storage Component, Common Component, Test Driver Component, E2E Component, Client Component."
teammates,1,Common,_zUmhEKESEeu-mYqkDskRow,1,3,full_name,3,2,1,canonical,Common,"Architecture contains UI Component, Logic Component, Storage Component, Common Component, Test Driver Component, E2E Component, Client Component."
teammates,4,UI,_1lMqsKESEeu-mYqkDskRow,1,3,full_name,1,3,1,canonical,UI,"The UI Browser seen by users consists of Web pages containing HTML, CSS for styling and JavaScript for client-side interactions such as sorting, input validation, etc.."
teammates,4,Client,_GaP8QKETEeu-mYqkDskRow,0,0,,0,0,1,canonical,Client,"The UI Browser seen by users consists of Web pages containing HTML, CSS for styling and JavaScript for client-side interactions such as sorting, input validation, etc.."
teammates,5,UI,_1lMqsKESEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,UI,This UI is a single HTML page generated by Angular framework.
teammates,7,UI,_1lMqsKESEeu-mYqkDskRow,1,0,,0,3,1,canonical,UI,In the UI Server the entry point for the application back end logic is designed as a REST-ful controller.
teammates,7,Logic,_3LCnIKESEeu-mYqkDskRow,1,3,full_name,0,0,1,canonical,Logic,In the UI Server the entry point for the application back end logic is designed as a REST-ful controller.
teammates,8,Logic,_3LCnIKESEeu-mYqkDskRow,1,3,full_name,0,0,1,canonical,Logic,The main logic of the application is in POJOs (Plain Old Java Objects).
teammates,9,Storage,_9JlCIKESEeu-mYqkDskRow,1,3,full_name,1,0,1,canonical,Storage,"The storage layer of the application uses the persistence framework provided by GAE Datastore, a NoSQL database."
teammates,9,GAE Datastore,_KGVMcKETEeu-mYqkDskRow,1,3,full_name,3,0,1,canonical,GAE Datastore,"The storage layer of the application uses the persistence framework provided by GAE Datastore, a NoSQL database."
teammates,10,Test Driver,_Bae2oKETEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,Test Driver,The following explains the use of the Test Driver.
teammates,15,E2E,_EIoe8KETEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,E2E,The E2E end-to-end component is used to interact with the application as a whole with Web browsers.
teammates,16,E2E,_EIoe8KETEeu-mYqkDskRow,1,3,full_name,3,2,1,canonical,E2E,Its primary function is for E2E tests.
teammates,17,E2E,_EIoe8KETEeu-mYqkDskRow,0,3,full_name,3,2,1,canonical,E2E,Selenium Java is used to automate E2E testing with actual Web browsers.
teammates,18,Logic,_3LCnIKESEeu-mYqkDskRow,0,3,full_name,0,0,0,alias,back end,The Client component can connect to the back end directly without using a Web browser.
teammates,18,Client,_GaP8QKETEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,Client,The Client component can connect to the back end directly without using a Web browser.
teammates,19,Client,_GaP8QKETEeu-mYqkDskRow,1,3,coreference,3,0,0,none,,"It is used for administrative purposes, e.g. migrating data to a new schema."
teammates,20,Common,_zUmhEKESEeu-mYqkDskRow,1,3,full_name,3,1,1,canonical,Common,"The Common component contains utility code (data transfer objects, helper classes, etc.) used across the application."
teammates,22,UI,_1lMqsKESEeu-mYqkDskRow,0,0,,0,1,1,canonical,UI,"logic, ui.website, ui.controller represent an application of Model-View-Controller pattern."
teammates,22,Logic,_3LCnIKESEeu-mYqkDskRow,0,3,full_name,3,0,1,canonical,Logic,"logic, ui.website, ui.controller represent an application of Model-View-Controller pattern."
teammates,23,UI,_1lMqsKESEeu-mYqkDskRow,0,0,,0,0,1,canonical,UI,ui.website is not a real package.
teammates,24,UI,_1lMqsKESEeu-mYqkDskRow,0,3,full_name,0,1,0,alias,front-end,It is a conceptual package representing the front-end of the application.
teammates,25,UI,_1lMqsKESEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,UI,The diagram below shows the object structure of the UI component.
teammates,26,UI,_1lMqsKESEeu-mYqkDskRow,0,0,,0,0,1,canonical,UI,ui.website is not a Java package.
teammates,29,UI,_1lMqsKESEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,UI,The UI component is the first stop for 99% of all requests that are received by the application.
teammates,47,UI,_1lMqsKESEeu-mYqkDskRow,0,0,,0,1,0,none,,"If the action is allowed, it will be performed, interacting with the Logic component as necessary."
teammates,47,Logic,_3LCnIKESEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,Logic,"If the action is allowed, it will be performed, interacting with the Logic component as necessary."
teammates,50,UI,_1lMqsKESEeu-mYqkDskRow,0,3,full_name,0,0,0,alias,front-end,"Sixth, WebApiServlet sends the result back to the browser which will then process it on the front-end."
teammates,68,Logic,_3LCnIKESEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,Logic,"Seventh, the corresponding AutomatedAction will be performed, interacting with the Logic component as necessary."
teammates,77,Logic,_3LCnIKESEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,Logic,The Logic component handles the business logic of TEAMMATES.
teammates,78,Logic,_3LCnIKESEeu-mYqkDskRow,1,3,coreference,3,0,0,none,,"In particular, it is responsible for the following."
teammates,79,Logic,_3LCnIKESEeu-mYqkDskRow,0,0,,0,0,1,canonical,Logic,"Managing relationships between entities, e.g. cascade logic for create/update/delete."
teammates,81,UI,_1lMqsKESEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,UI,Sanitizing input values received from the UI component.
teammates,84,Logic,_3LCnIKESEeu-mYqkDskRow,0,0,,0,0,1,canonical,Logic,"Package overview contains logic.api, logic.core."
teammates,85,UI,_1lMqsKESEeu-mYqkDskRow,1,3,full_name,3,0,1,canonical,UI,logic.api provides the API of the component to be accessed by the UI.
teammates,85,Logic,_3LCnIKESEeu-mYqkDskRow,0,1,coreference,1,0,1,canonical,Logic,logic.api provides the API of the component to be accessed by the UI.
teammates,86,Logic,_3LCnIKESEeu-mYqkDskRow,0,0,,0,0,1,canonical,Logic,logic.core contains the core logic of the system.
teammates,87,Logic,_3LCnIKESEeu-mYqkDskRow,1,3,full_name,3,2,1,canonical,Logic,"Logic API is represented by the classes Logic, GateKeeper, EmailGenerator, EmailSender, TaskQueuer."
teammates,88,Logic,_3LCnIKESEeu-mYqkDskRow,1,3,full_name,3,2,1,canonical,Logic,Logic is a Facade class which connects to the several Logic classes to handle the logic related to various types of data and to access data from the Storage component.
teammates,88,Storage,_9JlCIKESEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,Storage,Logic is a Facade class which connects to the several Logic classes to handle the logic related to various types of data and to access data from the Storage component.
teammates,97,UI,_1lMqsKESEeu-mYqkDskRow,1,3,full_name,3,2,1,canonical,UI,The UI is expected to check access control (using GateKeeper class) before calling a method in the Logic.
teammates,97,Logic,_3LCnIKESEeu-mYqkDskRow,1,3,full_name,3,1,1,canonical,Logic,The UI is expected to check access control (using GateKeeper class) before calling a method in the Logic.
teammates,101,Storage,_9JlCIKESEeu-mYqkDskRow,1,3,full_name,3,0,1,canonical,Storage,Entity already exists throws EntityAlreadyExistsException (escalated from Storage level).
teammates,117,Logic,_3LCnIKESEeu-mYqkDskRow,0,0,,0,0,1,canonical,Logic,Refer to the API for the cascade logic.
teammates,118,Storage,_9JlCIKESEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,Storage,"The Storage component performs CRUD (Create, Read, Update, Delete) operations on data entities individually."
teammates,119,Logic,_3LCnIKESEeu-mYqkDskRow,0,0,,0,0,1,canonical,Logic,It contains minimal logic beyond what is directly relevant to CRUD operations.
teammates,119,Storage,_9JlCIKESEeu-mYqkDskRow,1,3,coreference,3,0,0,none,,It contains minimal logic beyond what is directly relevant to CRUD operations.
teammates,120,Storage,_9JlCIKESEeu-mYqkDskRow,1,3,coreference,3,0,0,none,,"In particular, it is reponsible for the following."
teammates,122,Logic,_3LCnIKESEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,Logic,Hiding the complexities of datastore from the Logic component.
teammates,122,Storage,_9JlCIKESEeu-mYqkDskRow,0,0,,0,1,0,none,,Hiding the complexities of datastore from the Logic component.
teammates,122,GAE Datastore,_KGVMcKETEeu-mYqkDskRow,1,0,,0,0,0,alias,datastore,Hiding the complexities of datastore from the Logic component.
teammates,123,Storage,_9JlCIKESEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,Storage,All GQL queries are to be contained inside the Storage component.
teammates,125,Storage,_9JlCIKESEeu-mYqkDskRow,0,3,coreference,3,1,1,canonical,Storage,Classes in the storage.entity package are not visible outside this component to hide information specific to data persistence.
teammates,127,Common,_zUmhEKESEeu-mYqkDskRow,0,0,,0,0,1,canonical,Common,"These datatransfer classes are in common.datatransfer package, to be explained later."
teammates,128,Storage,_9JlCIKESEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,Storage,The Storage component does not perform any cascade delete/create operations.
teammates,129,Logic,_3LCnIKESEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,Logic,Cascade logic is handled by the Logic component.
teammates,130,Storage,_9JlCIKESEeu-mYqkDskRow,0,0,,0,0,1,canonical,Storage,"Package overview contains storage.api, storage.entity, storage.search."
teammates,131,Logic,_3LCnIKESEeu-mYqkDskRow,1,3,full_name,3,0,1,canonical,Logic,storage.api provides the API of the component to be accessed by the logic component.
teammates,131,Storage,_9JlCIKESEeu-mYqkDskRow,0,0,,0,0,1,canonical,Storage,storage.api provides the API of the component to be accessed by the logic component.
teammates,132,Storage,_9JlCIKESEeu-mYqkDskRow,0,0,,0,0,1,canonical,Storage,storage.entity contains classes that represent persistable entities.
teammates,133,Storage,_9JlCIKESEeu-mYqkDskRow,0,0,,0,0,1,canonical,Storage,storage.search contains classes for dealing with searching and indexing.
teammates,137,GAE Datastore,_KGVMcKETEeu-mYqkDskRow,1,3,full_name,3,0,1,canonical,GAE Datastore,These classes act as the bridge to the GAE Datastore.
teammates,138,GAE Datastore,_KGVMcKETEeu-mYqkDskRow,1,3,full_name,2,0,0,alias,datastore,Add and Delete operations try to wait until data is persisted in the datastore before returning.
teammates,139,GAE Datastore,_KGVMcKETEeu-mYqkDskRow,0,2,full_name,0,0,0,alias,GAE,This is not enough to compensate for eventual consistency involving multiple servers in the GAE production environment.
teammates,141,GAE Datastore,_KGVMcKETEeu-mYqkDskRow,1,3,full_name,2,0,0,alias,Google's distributed datastore,Eventual consistency here means it takes some time for a database operation to propagate across all serves of the Google's distributed datastore.
teammates,144,GAE Datastore,_KGVMcKETEeu-mYqkDskRow,0,3,full_name,2,0,0,alias,GAE,Implementation of Transaction Control has been minimized due to limitations of GAE environment and the nature of our data schema.
teammates,155,Common,_zUmhEKESEeu-mYqkDskRow,1,3,full_name,3,2,1,canonical,Common,The Common component contains common utilities used across TEAMMATES.
teammates,156,Common,_zUmhEKESEeu-mYqkDskRow,0,0,,0,0,1,canonical,Common,"Package overview contains common.util, common.exceptions, common.datatransfer."
teammates,157,Common,_zUmhEKESEeu-mYqkDskRow,0,0,,0,0,1,canonical,Common,common.util contains utility classes.
teammates,158,Common,_zUmhEKESEeu-mYqkDskRow,0,0,,0,0,1,canonical,Common,common.exceptions contains custom exceptions.
teammates,159,Common,_zUmhEKESEeu-mYqkDskRow,0,0,,0,0,1,canonical,Common,common.datatransfer contains data transfer objects.
teammates,160,Common,_zUmhEKESEeu-mYqkDskRow,0,0,,0,0,1,canonical,Common,common.datatransfer package contains lightweight data transfer object classes for transferring data among components.
teammates,163,Test Driver,_Bae2oKETEeu-mYqkDskRow,1,3,full_name,3,3,1,canonical,Test Driver,Test Driver can use the DataBundle in this manner to send an arbitrary number of objects to be persisted in the database.
teammates,168,Test Driver,_Bae2oKETEeu-mYqkDskRow,1,2,partial_name,0,3,0,none,,This component automates the testing of TEAMMATES.
teammates,173,Test Driver,_Bae2oKETEeu-mYqkDskRow,0,3,full_name,3,0,1,canonical,Test Driver,x.testdriver contains component test cases for testing the test driver infrastructure and helpers.
