sentence,crate,tier,consistency,crateview,openai_gpt-5.6-terra,claude_cli_sonnet,sym,anchor,cochange
83,rustc_middle,gold,1.0,1,A,A,0,0,0
84,rustc_middle,gold,1.0,1,A,A,0,0,0
85,rustc_middle,gold,0.6666666666666666,1,A,A,0,0,0
88,rustc_mir_build,gold,1.0,1,A,A,0,0,0
89,rustc_middle,gold,1.0,1,A,A,0,0,0
91,rustc_middle,gold,1.0,1,A,A,0,0,0
92,rustc_borrowck,gold,1.0,0,A,A,0,0,0
92,rustc_mir_dataflow,gold,1.0,0,A,A,0,0,0
93,rustc_const_eval,gold,1.0,0,A,A,0,0,0
93,rustc_mir_transform,gold,1.0,0,A,A,0,0,0
94,rustc_middle,gold,1.0,1,A,A,0,0,0
100,rustc_arena,gold,1.0,0,A,A,0,0,0
101,rustc_arena,gold,1.0,0,A,A,0,0,0
102,rustc_middle,gold,1.0,1,A,A,0,0,0
103,rustc_middle,gold,1.0,1,A,A,0,0,0
104,rustc_middle,gold,1.0,0,A,A,0,0,0
106,rustc_incremental,gold,1.0,0,A,A,0,0,0
107,rustc_middle,gold,1.0,0,A,A,0,0,0
107,rustc_query_impl,gold,1.0,1,A,A,0,0,0
109,rustc_query_impl,gold,1.0,1,A,A,0,0,0
110,rustc_incremental,gold,1.0,1,A,A,0,0,0
110,rustc_query_impl,gold,1.0,1,A,A,0,0,0
111,rustc_incremental,gold,1.0,1,A,A,0,0,0
113,rustc_codegen_llvm,gold,1.0,0,A,A,0,0,0
114,rustc_borrowck,gold,1.0,0,A,A,0,0,0
114,rustc_mir_transform,gold,1.0,0,A,A,0,0,0
115,rustc_borrowck,gold,1.0,1,A,A,0,0,0
115,rustc_incremental,gold,1.0,0,A,A,0,0,0
116,rustc_borrowck,gold,1.0,1,A,A,0,0,0
116,rustc_monomorphize,gold,1.0,0,A,A,0,0,0
117,rustc_borrowck,gold,1.0,1,A,A,0,0,0
122,rustc_middle,gold,1.0,1,A,A,1,1,0
125,rustc_middle,gold,1.0,1,A,A,1,1,0
126,rustc_middle,gold,1.0,1,A,A,0,0,0
127,rustc_middle,gold,1.0,1,A,A,1,1,0
130,rustc_middle,gold,1.0,1,A,A,0,1,0
131,rustc_middle,gold,1.0,1,A,A,0,1,0
132,rustc_middle,gold,1.0,1,A,A,1,1,0
135,rustc_codegen_ssa,gold,1.0,1,A,A,0,0,0
149,rustc_ast,gold,1.0,1,A,A,0,1,0
149,rustc_borrowck,gold,1.0,1,A,A,0,1,0
149,rustc_codegen_ssa,gold,1.0,1,A,A,1,1,0
149,rustc_driver,gold,0.6666666666666666,0,A,A,0,1,0
149,rustc_hir,gold,1.0,0,A,A,0,1,0
149,rustc_lexer,gold,1.0,1,A,A,1,1,0
149,rustc_middle,gold,1.0,1,A,A,1,1,0
149,rustc_mir_transform,gold,1.0,1,A,A,0,1,0
149,rustc_parse,gold,1.0,1,A,A,0,1,0
149,rustc_session,gold,1.0,0,A,A,1,1,0
160,rustc,gold,1.0,1,A,A,0,0,0
160,rustc_driver_impl,gold,1.0,1,A,A,1,0,0
161,rustc,gold,1.0,1,A,A,0,0,0
162,rustc_driver_impl,gold,1.0,1,A,A,0,0,0
163,rustc_interface,gold,1.0,1,A,A,0,1,0
164,rustc_interface,gold,1.0,1,A,A,0,0,0
165,rustc_middle,gold,1.0,1,A,A,0,1,0
166,rustc_parse,gold,0.6666666666666666,1,A,A,0,0,0
167,rustc_data_structures,gold,1.0,1,A,A,0,1,0
167,rustc_errors,gold,1.0,1,A,A,0,1,0
167,rustc_span,gold,1.0,1,A,A,1,1,0
169,rustc_llvm,gold,1.0,1,A,A,0,1,0
178,rustc_ast,gold,1.0,0,A,A,0,0,0
178,rustc_parse,gold,1.0,1,A,A,0,1,0
179,rustc_query_impl,gold,1.0,0,A,A,0,0,0
180,rustc_middle,gold,1.0,0,A,A,0,0,0
181,rustc_middle,gold,1.0,0,A,A,0,0,0
182,rustc_middle,gold,1.0,1,A,A,0,1,0
183,rustc_middle,gold,1.0,1,A,A,0,0,0
184,rustc_middle,gold,1.0,1,A,A,0,0,0
186,rustc_lint,gold,1.0,0,A,A,0,1,0
186,rustc_middle,gold,1.0,1,A,A,0,1,0
189,rustc_driver,gold,1.0,1,A,A,0,1,0
189,rustc_interface,gold,1.0,1,A,A,0,1,0
190,rustc_interface,gold,1.0,1,A,A,0,0,0
192,rustc_driver_impl,gold,1.0,1,A,A,0,0,0
192,rustc_interface,gold,1.0,0,A,A,0,1,0
213,rustc_query_impl,gold,1.0,0,A,A,0,0,0
214,rustc_query_impl,gold,1.0,0,A,A,0,0,0
216,rustc_query_impl,gold,1.0,1,A,A,0,0,0
217,rustc_query_impl,gold,1.0,1,A,A,0,0,0
218,rustc_incremental,gold,1.0,1,A,A,0,0,0
218,rustc_query_impl,gold,1.0,1,A,A,0,0,0
219,rustc_incremental,gold,0.6666666666666666,0,A,A,0,0,0
222,rustc_query_impl,gold,1.0,0,A,A,0,0,0
223,rustc_query_impl,gold,1.0,0,A,A,0,0,0
224,rustc_query_impl,gold,1.0,0,A,A,0,0,0
225,rustc_query_impl,gold,1.0,0,A,A,0,0,0
226,rustc_query_impl,gold,1.0,0,A,A,0,0,0
228,rustc_query_impl,gold,0.3333333333333333,0,A,A,0,0,0
229,rustc_middle,gold,1.0,1,A,A,1,1,0
231,rustc_query_impl,gold,1.0,1,A,A,0,0,0
233,rustc_middle,gold,1.0,1,A,A,1,1,0
234,rustc_middle,gold,1.0,1,A,A,1,0,0
235,rustc_middle,gold,1.0,1,A,A,0,0,0
236,rustc_middle,gold,1.0,1,A,A,1,0,0
241,rustc_metadata,gold,1.0,1,A,A,0,1,0
242,rustc_driver,gold,1.0,1,A,A,0,1,0
244,rustc_middle,gold,1.0,1,A,A,0,0,0
245,rustc_interface,gold,1.0,1,A,A,1,1,0
246,rustc_hir_analysis,gold,1.0,1,A,A,0,1,0
246,rustc_middle,gold,1.0,1,A,A,0,1,0
247,rustc_middle,gold,1.0,1,A,A,1,1,0
248,rustc_middle,gold,1.0,0,A,A,1,0,0
249,rustc_middle,gold,1.0,0,A,A,1,0,0
252,rustc_interface,gold,1.0,1,A,A,1,1,0
253,rustc_metadata,gold,1.0,0,A,A,0,0,0
254,rustc_metadata,gold,1.0,1,A,A,0,1,0
257,rustc_query_impl,gold,1.0,1,A,A,0,0,0
258,rustc_metadata,gold,1.0,1,A,A,0,1,0
259,rustc_metadata,gold,1.0,1,A,A,0,1,0
260,rustc_metadata,gold,1.0,1,A,A,0,1,0
260,rustc_query_impl,gold,1.0,0,A,A,0,0,0
261,rustc_query_impl,gold,0.6666666666666666,0,A,A,0,0,0
265,rustc_metadata,gold,1.0,1,A,A,0,1,0
267,rustc_middle,gold,1.0,1,A,A,0,0,0
268,rustc_middle,gold,0.6666666666666666,1,A,A,0,0,0
269,rustc_middle,gold,1.0,1,A,A,0,1,0
270,rustc_middle,gold,1.0,1,A,A,0,0,0
271,rustc_middle,gold,1.0,1,A,A,1,0,0
272,rustc_query_impl,gold,1.0,0,A,A,0,0,0
274,rustc_middle,gold,1.0,1,A,A,0,0,0
275,rustc_middle,gold,1.0,1,A,A,1,1,0
278,rustc_middle,gold,0.6666666666666666,1,A,A,0,0,0
285,rustc_arena,gold,1.0,0,A,A,0,0,0
285,rustc_data_structures,gold,1.0,0,A,A,0,0,0
286,rustc_arena,gold,1.0,0,A,A,0,0,0
287,rustc_arena,gold,1.0,1,A,A,0,0,0
288,rustc_arena,gold,0.6666666666666666,1,A,A,0,0,0
289,rustc_arena,gold,1.0,1,A,A,0,0,0
290,rustc_middle,gold,1.0,1,A,A,0,1,0
291,rustc_middle,gold,1.0,1,A,A,1,1,0
292,rustc_middle,gold,1.0,1,A,A,0,1,0
293,rustc_middle,gold,1.0,1,A,A,0,0,0
294,rustc_middle,gold,1.0,1,A,A,0,0,0
295,rustc_middle,gold,1.0,1,A,A,0,0,0
296,rustc_middle,gold,1.0,1,A,A,0,0,0
297,rustc_middle,gold,1.0,1,A,A,0,1,0
298,rustc_middle,gold,1.0,1,A,A,0,0,0
299,rustc_middle,gold,1.0,1,A,A,0,0,0
301,rustc_middle,gold,1.0,1,A,A,0,0,0
302,rustc_middle,gold,1.0,1,A,A,0,0,0
303,rustc_middle,gold,1.0,1,A,A,0,0,0
304,rustc_middle,gold,1.0,1,A,A,0,1,0
305,rustc_middle,gold,1.0,1,A,A,0,0,0
308,rustc_type_ir,gold,0.6666666666666666,1,A,A,1,0,0
309,rustc_middle,gold,1.0,1,A,A,0,0,0
310,rustc_middle,gold,1.0,1,A,A,0,0,0
311,rustc_middle,gold,1.0,1,A,A,1,1,0
312,rustc_middle,gold,1.0,1,A,A,0,0,0
315,rustc_data_structures,gold,0.6666666666666666,0,A,A,0,0,0
315,rustc_middle,gold,0.6666666666666666,0,A,A,0,0,0
316,rustc_middle,gold,1.0,1,A,A,1,1,0
318,rustc_metadata,gold,1.0,1,A,A,0,0,0
319,rustc_metadata,gold,1.0,1,A,A,0,0,0
321,rustc_codegen_ssa,gold,1.0,1,A,A,1,1,0
322,rustc_serialize,gold,1.0,1,A,A,0,1,0
327,rustc_middle,gold,1.0,1,A,A,1,1,0
328,rustc_middle,gold,1.0,1,A,A,1,0,0
329,rustc_macros,gold,1.0,1,A,A,0,1,0
330,rustc_middle,gold,1.0,1,A,A,1,0,0
331,rustc_middle,gold,1.0,1,A,A,1,1,0
332,rustc_middle,gold,1.0,1,A,A,0,0,0
333,rustc_macros,gold,1.0,1,A,A,0,0,0
334,rustc_middle,gold,1.0,0,A,A,1,1,0
335,rustc_macros,gold,1.0,1,A,A,0,1,0
336,rustc_macros,gold,1.0,1,A,A,0,0,0
337,rustc_macros,gold,1.0,1,A,A,0,0,0
338,rustc_macros,gold,1.0,1,A,A,0,1,0
339,rustc_macros,gold,1.0,1,A,A,0,1,0
340,rustc_macros,gold,1.0,1,A,A,0,0,0
341,rustc_macros,gold,1.0,1,A,A,0,0,0
342,rustc_middle,gold,1.0,0,A,A,0,1,0
343,rustc_middle,gold,1.0,1,A,A,0,0,0
348,rustc_metadata,gold,1.0,1,A,A,0,1,0
349,rustc_metadata,gold,1.0,1,A,A,0,1,0
350,rustc_metadata,gold,1.0,1,A,A,0,0,0
351,rustc_metadata,gold,1.0,1,A,A,0,0,0
357,rustc_codegen_ssa,gold,1.0,1,A,A,0,0,0
358,rustc_session,gold,1.0,1,A,A,0,0,0
359,rustc_borrowck,gold,1.0,1,A,A,0,0,0
359,rustc_hir_analysis,gold,1.0,0,A,A,0,0,0
359,rustc_hir_typeck,gold,1.0,0,A,A,0,0,0
359,rustc_mir_transform,gold,1.0,0,A,A,0,0,0
360,rustc_interface,gold,1.0,0,A,A,0,0,0
361,rustc_ast_lowering,gold,1.0,0,A,A,0,0,0
361,rustc_expand,gold,1.0,0,A,A,0,0,0
361,rustc_parse,gold,1.0,0,A,A,0,0,0
362,rustc_monomorphize,gold,1.0,0,A,A,0,0,0
363,rustc_codegen_llvm,gold,1.0,0,A,A,0,0,0
363,rustc_codegen_ssa,gold,1.0,1,A,A,0,0,0
364,rustc_codegen_ssa,gold,1.0,1,A,A,0,0,0
365,rustc_codegen_ssa,gold,1.0,1,A,A,0,1,0
366,rustc_data_structures,gold,1.0,1,A,A,1,1,0
367,rustc_data_structures,gold,1.0,1,A,A,0,0,0
368,rustc_data_structures,gold,1.0,1,A,A,0,0,0
371,rustc_data_structures,gold,1.0,1,A,A,1,1,0
372,rustc_data_structures,gold,1.0,1,A,A,0,0,0
373,rustc_data_structures,gold,1.0,1,A,A,0,0,0
374,rustc_data_structures,gold,1.0,0,A,A,1,0,0
375,rustc_data_structures,gold,1.0,1,A,A,0,1,0
376,rustc_data_structures,gold,1.0,1,A,A,0,0,0
378,rustc_thread_pool,gold,1.0,1,A,A,0,0,0
384,rustc_query_impl,gold,1.0,1,A,A,0,0,0
385,rustc_query_impl,gold,1.0,1,A,A,0,0,0
386,rustc_query_impl,gold,1.0,1,A,A,0,0,0
387,rustc_query_impl,gold,1.0,1,A,A,0,0,0
388,rustc_query_impl,gold,1.0,1,A,A,0,0,0
389,rustc_query_impl,gold,1.0,0,A,A,0,0,0
394,rustc_lexer,gold,1.0,0,A,A,0,0,0
394,rustc_parse,gold,1.0,0,A,A,0,0,0
396,rustc_lexer,gold,1.0,1,A,A,0,1,0
397,rustc_ast,gold,1.0,1,A,A,0,0,0
398,rustc_ast,gold,1.0,1,A,A,0,1,0
399,rustc_ast,gold,1.0,1,A,A,1,1,0
400,rustc_ast,gold,1.0,1,A,A,1,1,0
401,rustc_ast,gold,1.0,1,A,A,1,1,0
404,rustc_parse,gold,1.0,1,A,A,0,1,0
405,rustc_parse,gold,1.0,1,A,A,1,1,0
406,rustc_parse,gold,1.0,1,A,A,0,1,0
407,rustc_parse,gold,1.0,1,A,A,0,0,0
408,rustc_parse,gold,1.0,1,A,A,1,1,0
409,rustc_session,gold,1.0,1,A,A,0,0,0
410,rustc_parse,gold,1.0,1,A,A,0,0,0
411,rustc_parse,gold,1.0,1,A,A,0,0,0
412,rustc_expand,gold,1.0,1,A,A,0,0,0
413,rustc_lexer,gold,1.0,1,A,A,0,1,0
414,rustc_lexer,gold,1.0,1,A,A,0,1,0
415,rustc_parse,gold,1.0,1,A,A,0,1,0
416,rustc_parse,gold,1.0,1,A,A,0,0,0
418,rustc_parse,gold,1.0,1,A,A,0,0,0
419,rustc_expand,gold,1.0,0,A,A,0,0,0
420,rustc_expand,gold,1.0,0,A,A,0,0,0
421,rustc_expand,gold,1.0,0,A,A,0,0,0
421,rustc_span,gold,1.0,0,A,A,0,0,0
422,rustc_expand,gold,0.3333333333333333,0,A,A,0,0,0
423,rustc_expand,gold,1.0,1,A,A,0,1,0
425,rustc_expand,gold,1.0,1,A,A,0,0,0
426,rustc_expand,gold,1.0,1,A,A,0,0,0
427,rustc_expand,gold,1.0,1,A,A,1,1,0
428,rustc_expand,gold,1.0,1,A,A,0,0,0
429,rustc_expand,gold,1.0,1,A,A,1,1,0
430,rustc_expand,gold,1.0,1,A,A,0,0,0
431,rustc_expand,gold,1.0,1,A,A,0,0,0
432,rustc_expand,gold,1.0,1,A,A,0,0,0
433,rustc_expand,gold,1.0,1,A,A,0,0,0
434,rustc_expand,gold,1.0,1,A,A,1,1,0
434,rustc_resolve,gold,1.0,0,A,A,0,0,0
435,rustc_expand,gold,1.0,1,A,A,0,0,0
435,rustc_resolve,gold,1.0,0,A,A,0,0,0
436,rustc_expand,gold,1.0,1,A,A,0,0,0
437,rustc_expand,gold,1.0,1,A,A,0,0,0
438,rustc_resolve,gold,1.0,1,A,A,0,0,0
439,rustc_resolve,gold,1.0,1,A,A,0,1,0
440,rustc_resolve,gold,1.0,1,A,A,0,0,0
441,rustc_resolve,gold,1.0,1,A,A,0,0,0
442,rustc_expand,gold,1.0,1,A,A,0,0,0
443,rustc_builtin_macros,gold,1.0,0,A,A,0,0,0
444,rustc_expand,gold,1.0,0,A,A,0,0,0
445,rustc_expand,gold,1.0,0,A,A,0,0,0
446,rustc_builtin_macros,gold,0.3333333333333333,0,A,A,0,0,0
446,rustc_expand,gold,1.0,1,A,A,0,0,0
448,rustc_builtin_macros,gold,1.0,1,A,A,0,1,0
449,rustc_expand,gold,1.0,1,A,A,0,1,0
451,rustc_expand,gold,1.0,1,A,A,1,1,0
452,rustc_expand,gold,1.0,1,A,A,1,1,0
453,rustc_expand,gold,1.0,1,A,A,0,0,0
454,rustc_expand,gold,1.0,1,A,A,1,1,0
455,rustc_expand,gold,1.0,1,A,A,1,1,0
456,rustc_expand,gold,1.0,1,A,A,1,1,0
464,rustc_expand,gold,1.0,0,A,A,0,0,0
465,rustc_span,gold,1.0,0,A,A,0,0,0
466,rustc_span,gold,0.6666666666666666,0,A,A,0,0,0
467,rustc_expand,gold,1.0,0,A,A,0,0,0
468,rustc_expand,gold,1.0,0,A,A,0,0,0
469,rustc_expand,gold,1.0,0,A,A,0,0,0
470,rustc_span,gold,1.0,0,A,A,0,0,0
471,rustc_expand,gold,1.0,0,A,A,0,0,0
473,rustc_span,gold,1.0,1,A,A,1,1,0
474,rustc_span,gold,1.0,1,A,A,0,0,0
475,rustc_span,gold,1.0,1,A,A,0,0,0
476,rustc_span,gold,1.0,1,A,A,0,0,0
478,rustc_span,gold,1.0,1,A,A,0,0,0
479,rustc_span,gold,1.0,1,A,A,0,0,0
480,rustc_span,gold,1.0,1,A,A,1,1,0
481,rustc_span,gold,1.0,1,A,A,0,0,0
482,rustc_span,gold,1.0,1,A,A,1,1,0
483,rustc_span,gold,1.0,1,A,A,1,1,0
484,rustc_span,gold,1.0,1,A,A,1,1,0
485,rustc_span,gold,1.0,1,A,A,1,1,0
486,rustc_span,gold,1.0,1,A,A,0,0,0
487,rustc_span,gold,1.0,1,A,A,0,0,0
488,rustc_span,gold,1.0,1,A,A,1,1,0
489,rustc_span,gold,1.0,1,A,A,0,1,0
490,rustc_span,gold,1.0,0,A,A,0,0,0
491,rustc_span,gold,1.0,1,A,A,0,0,0
493,rustc_span,gold,1.0,1,A,A,1,1,0
494,rustc_span,gold,1.0,1,A,A,1,1,0
495,rustc_span,gold,1.0,1,A,A,0,1,0
496,rustc_span,gold,1.0,1,A,A,1,1,0
497,rustc_span,gold,1.0,1,A,A,1,1,0
498,rustc_span,gold,1.0,1,A,A,1,1,0
499,rustc_expand,gold,1.0,0,A,A,0,0,0
499,rustc_span,gold,1.0,1,A,A,0,1,0
500,rustc_expand,gold,1.0,0,A,A,0,0,0
501,rustc_span,gold,1.0,1,A,A,0,0,0
507,rustc_expand,gold,1.0,0,A,A,0,0,0
508,rustc_span,gold,1.0,1,A,A,0,0,0
509,rustc_span,gold,1.0,1,A,A,0,0,0
511,rustc_span,gold,1.0,1,A,A,0,0,0
512,rustc_span,gold,1.0,1,A,A,1,1,0
516,rustc_expand,gold,1.0,0,A,A,1,0,0
517,rustc_parse,gold,1.0,1,A,A,0,0,0
518,rustc_expand,gold,1.0,0,A,A,0,0,0
519,rustc_expand,gold,1.0,1,A,A,1,1,0
520,rustc_expand,gold,1.0,1,A,A,1,1,0
521,rustc_expand,gold,1.0,1,A,A,0,0,0
522,rustc_expand,gold,1.0,1,A,A,1,1,0
523,rustc_expand,gold,1.0,1,A,A,0,0,0
524,rustc_expand,gold,1.0,1,A,A,0,0,0
525,rustc_expand,gold,1.0,1,A,A,0,0,0
527,rustc_expand,gold,1.0,1,A,A,0,1,0
530,rustc_lexer,gold,0.3333333333333333,0,A,A,0,0,0
533,rustc_ast,gold,1.0,1,A,A,0,0,0
534,rustc_expand,gold,1.0,0,A,A,0,0,0
535,rustc_expand,gold,1.0,0,A,A,0,0,0
539,rustc_expand,gold,1.0,1,A,A,0,0,0
540,rustc_expand,gold,1.0,1,A,A,0,0,0
541,rustc_expand,gold,1.0,1,A,A,0,1,0
542,rustc_expand,gold,1.0,1,A,A,0,0,0
543,rustc_expand,gold,1.0,1,A,A,0,0,0
544,rustc_expand,gold,1.0,1,A,A,0,0,0
545,rustc_expand,gold,1.0,1,A,A,1,1,0
546,rustc_expand,gold,1.0,1,A,A,0,0,0
547,rustc_expand,gold,1.0,1,A,A,0,0,0
548,rustc_expand,gold,1.0,1,A,A,0,0,0
549,rustc_expand,gold,1.0,1,A,A,1,1,0
550,rustc_expand,gold,1.0,1,A,A,0,0,0
552,rustc_expand,gold,1.0,1,A,A,1,0,0
553,rustc_expand,gold,1.0,1,A,A,0,1,0
555,rustc_expand,gold,1.0,1,A,A,0,0,0
556,rustc_expand,gold,1.0,1,A,A,0,0,0
557,rustc_expand,gold,1.0,1,A,A,0,0,0
558,rustc_parse,gold,1.0,1,A,A,0,0,0
559,rustc_expand,gold,1.0,1,A,A,0,0,0
560,rustc_expand,gold,1.0,1,A,A,0,0,0
561,rustc_expand,gold,1.0,1,A,A,0,0,0
562,rustc_expand,gold,1.0,0,A,A,0,0,0
563,rustc_expand,gold,1.0,0,A,A,0,0,0
564,rustc_expand,gold,1.0,0,A,A,0,0,0
565,rustc_expand,gold,1.0,0,A,A,0,0,0
567,rustc_ast,gold,1.0,1,A,A,1,1,0
568,rustc_expand,gold,1.0,1,A,A,1,1,0
569,rustc_expand,gold,1.0,1,A,A,0,0,0
571,rustc_expand,gold,1.0,1,A,A,0,0,0
572,rustc_expand,gold,1.0,1,A,A,0,0,0
576,rustc_resolve,gold,1.0,1,A,A,0,0,0
577,rustc_resolve,gold,1.0,1,A,A,0,0,0
578,rustc_resolve,gold,1.0,1,A,A,0,0,0
579,rustc_resolve,gold,1.0,1,A,A,0,1,0
580,rustc_resolve,gold,1.0,1,A,A,0,0,0
581,rustc_resolve,gold,1.0,1,A,A,0,0,0
583,rustc_resolve,gold,1.0,1,A,A,0,0,0
584,rustc_resolve,gold,1.0,1,A,A,0,0,0
585,rustc_resolve,gold,1.0,1,A,A,0,0,0
586,rustc_resolve,gold,1.0,1,A,A,0,0,0
590,rustc_resolve,gold,1.0,1,A,A,0,0,0
591,rustc_resolve,gold,1.0,1,A,A,0,0,0
592,rustc_resolve,gold,1.0,1,A,A,0,0,0
593,rustc_resolve,gold,1.0,1,A,A,0,0,0
594,rustc_resolve,gold,1.0,1,A,A,0,0,0
596,rustc_resolve,gold,1.0,1,A,A,0,0,0
597,rustc_resolve,gold,1.0,1,A,A,0,0,0
598,rustc_resolve,gold,1.0,1,A,A,1,1,0
599,rustc_resolve,gold,1.0,1,A,A,0,1,0
600,rustc_resolve,gold,1.0,1,A,A,0,0,0
602,rustc_resolve,gold,1.0,1,A,A,0,0,0
603,rustc_resolve,gold,1.0,1,A,A,0,0,0
604,rustc_resolve,gold,1.0,1,A,A,0,0,0
605,rustc_resolve,gold,1.0,1,A,A,0,0,0
606,rustc_resolve,gold,1.0,1,A,A,1,1,0
607,rustc_resolve,gold,1.0,1,A,A,0,0,0
608,rustc_resolve,gold,1.0,1,A,A,1,1,0
609,rustc_resolve,gold,1.0,1,A,A,0,0,0
610,rustc_resolve,gold,1.0,1,A,A,0,0,0
611,rustc_resolve,gold,1.0,1,A,A,0,0,0
612,rustc_resolve,gold,1.0,1,A,A,0,1,0
613,rustc_resolve,gold,1.0,1,A,A,0,0,0
614,rustc_resolve,gold,1.0,1,A,A,1,1,0
615,rustc_resolve,gold,1.0,1,A,A,1,1,0
616,rustc_resolve,gold,1.0,1,A,A,1,1,0
617,rustc_resolve,gold,1.0,1,A,A,0,0,0
618,rustc_resolve,gold,1.0,1,A,A,1,1,0
620,rustc_resolve,gold,1.0,1,A,A,1,1,0
621,rustc_expand,gold,1.0,1,A,A,0,0,0
621,rustc_resolve,gold,1.0,1,A,A,0,0,0
622,rustc_resolve,gold,1.0,1,A,A,0,0,0
623,rustc_resolve,gold,1.0,1,A,A,0,0,0
625,rustc_resolve,gold,1.0,1,A,A,0,0,0
626,rustc_resolve,gold,1.0,1,A,A,0,0,0
627,rustc_resolve,gold,1.0,1,A,A,0,1,0
628,rustc_resolve,gold,1.0,1,A,A,1,1,0
629,rustc_resolve,gold,1.0,1,A,A,0,1,0
638,rustc_resolve,gold,1.0,0,A,A,1,0,0
641,rustc_attr_parsing,gold,1.0,1,A,A,0,1,0
641,rustc_feature,gold,1.0,1,A,A,0,1,0
643,rustc_attr_parsing,gold,0.6666666666666666,0,A,A,0,0,0
643,rustc_feature,gold,1.0,0,A,A,0,0,0
644,rustc_attr_parsing,gold,0.6666666666666666,0,A,A,0,0,0
644,rustc_feature,gold,1.0,0,A,A,0,0,0
646,rustc_expand,gold,1.0,1,A,A,0,0,0
648,rustc_lint,gold,1.0,1,A,A,0,0,0
663,rustc_builtin_macros,gold,1.0,1,A,A,0,1,0
666,rustc_expand,gold,1.0,1,A,A,0,0,0
667,rustc_expand,gold,1.0,1,A,A,0,0,0
668,rustc_hir,gold,1.0,1,A,A,0,0,0
669,rustc_ast_lowering,gold,1.0,1,A,A,0,0,0
669,rustc_hir,gold,1.0,1,A,A,0,0,0
670,rustc_ast_lowering,gold,1.0,1,A,A,0,0,0
670,rustc_hir,gold,1.0,1,A,A,0,0,0
671,rustc_ast_lowering,gold,1.0,1,A,A,0,0,0
672,rustc_hir,gold,1.0,1,A,A,0,0,0
674,rustc_hir,gold,1.0,1,A,A,0,0,0
675,rustc_hir,gold,1.0,1,A,A,0,0,0
676,rustc_hir,gold,1.0,1,A,A,0,0,0
677,rustc_hir,gold,1.0,1,A,A,1,1,0
678,rustc_hir,gold,0.6666666666666666,1,A,A,0,0,0
679,rustc_hir,gold,0.6666666666666666,1,A,A,0,0,0
680,rustc_hir,gold,0.6666666666666666,1,A,A,0,0,0
681,rustc_hir,gold,0.6666666666666666,1,A,A,0,0,0
682,rustc_hir,gold,1.0,1,A,A,1,1,0
