sentence,crate,tier,pattern,chapter,text,verdict(A/R/N),reason
542,rustc_parse,refers,symbol,macro-expansion.md,"The interface of the macro parser is as follows (this is slightly simplified): We use these items in macro parser: a `parser` variable is a reference to the state of a normal Rust parser, including the token stream and parsing session.",R,Macro parser interface (rustc_expand); rustc_parse Parser only referenced
211,rustc_passes,none,bm25-top1,compiler-src.md,"`src/doc`: Various documentation, including submodules for a few books.",N,About src/doc repository layout
392,rustc_thread_pool,none,bm25-top1,parallel-rustc.md,"Here are some resources that can be used to learn more: This IRLO thread by alexchricton about performance This IRLO thread by Zoxc, one of the pioneers of the effort This list of interior mutability in the compiler by nikomatsakis",N,List of external resources
1053,rustc_lint,gold,llm-only,diagnostics.md,Different lints will run at different times based on what information the lint needs to do its job.,A,Early vs late lint pass scheduling is rustc_lint design
69,rustc_public,none,bm25-top1,overview.md,Compiler stability: the compiler should not crash or fail ungracefully on the stable channel.,N,General compiler goal; not about rustc_public
1618,rustc_borrowck,none,bm25-top1,backend/monomorph.md,"For example, in some languages, such as Java, we may not know the most precise type of value until runtime.",N,General background on Java typing
33,rustc_parse,gold,llm-only,overview.md,"The `rustc_ast::ast`::{`Crate`, `Expr`, `Pat`, ...} `AST` nodes are returned from the parser while the standard `Diag` API is used for error handling.",A,Describes parser output (AST nodes) and error handling in rustc_parse
812,rustc_middle,gold,symbol,mir/index.md,"The `ty::ValTree` datastructure allows us to represent arrays, many structs, tuples, enums and, most primitives.",A,ty::ValTree data structure defined in rustc_middle
384,rustc_middle,refers,llm-only,parallel-rustc.md,"When a query `foo` is evaluated, the cache table for `foo` is locked.",A,"Query cache tables (DefaultCache, sharded locks) defined in rustc_middle::query::caches"
853,rustc_middle,refers,symbol,mir/construction.md,"Regardless of the lowering kind, the arguments to the operator are lowered to `Operand`s.",R,MIR construction lowering (rustc_mir_build); Operand type only referenced
687,rustc_hir_id,gold,symbol,hir.md,"Unlike `HirId`s, there isn't a `DefId` for every expression, which makes them more stable across compilations.",R,Claim is about DefId stability (rustc_span); HirId only contrasted
423,rustc_expand,gold,anchor,macro-expansion.md,"Many of the algorithms and data structures described below are in `rustc_expand`, with fundamental data structures in `rustc_expand::base`.",A,States expansion algorithms/data structures live in rustc_expand and rustc_expand::base
1564,rustc_mir_transform,gold,llm-only,mir/optimizations.md,We run a series of optimization passes over the MIR to improve it.,A,MIR optimization passes are rustc_mir_transform's responsibility
1639,rustc_codegen_ssa,silver,llm-only,backend/lowering-mir.md,"Now that we have a list of symbols to generate from the collector, we need to generate some sort of codegen IR.",A,Codegen from collected mono items is driven by rustc_codegen_ssa
326,rustc_middle,silver,llm-only,serialization.md,Deserializing these types isn't possible without access to the arena that they need to be allocated on.,A,Rationale for rustc_middle TyDecoder/arena-aware decoding design
838,rustc_mir_build,gold,llm-only,mir/construction.md,"For example, lowering an expression like `if foo { 22 } else { 44 }` requires generating a small ""diamond-shaped graph"".",A,Lowering if-expressions into diamond CFG is rustc_mir_build behaviour
136,rustc_thread_pool,none,bm25-top1,overview.md,"However, the rest of the compiler is still not yet parallel.",N,About the compiler as a whole not being parallel
353,rustc_serialize,gold_plus_only,symbol,serialization.md,"A few types, most notably `DefId`, need to have different implementations for different `Encoder`s.",R,Encoder trait from rustc_serialize used; the specialization design concerns DefId/rustc_middle
701,rustc_type_ir,refers,symbol,hir.md,"You need a `LocalDefId`, rather than a `DefId`, since only local items have HIR nodes.",N,About HIR map API and DefId/LocalDefId; nothing of rustc_type_ir involved
659,rustc_attr_parsing,none,bm25-top1,attributes.md,"AST-based attributes, defined in the standard library.",N,About attribute definitions in the standard library
1288,rustc_infer,refers,symbol,type-inference.md,See `InferCtxtBuilder` for more information.,R,Bare cross-reference naming InferCtxtBuilder; no claim about its behaviour
234,rustc_middle,gold,symbol,query.md,"The macro system generates both structs, which act as function tables for all query implementations, where each field is a function pointer to the actual provider. **Note:** Both the `Providers` and `ExternProviders` structs are generated by macros and act as function tables for all query implementations.",A,Providers/ExternProviders structs generated in rustc_middle::query
131,rustc_middle,gold,anchor,overview.md,"This is so important that we have a whole chapter on `ty::Ty`, but for now, we just want to mention that it exists and is the way `rustc` represents types!",A,ty::Ty in rustc_middle is how rustc represents types
472,rustc_ast,refers,llm-only,macro-expansion.md,"Additionally, there may be other nodes that have context attached, such as some desugared syntax (non-macro-expanded nodes are considered to just have the ""root"" context, as described below).",N,About hygiene SyntaxContext on spans (rustc_span); no rustc_ast item named
1573,rustc_codegen_gcc,none,bm25-top1,mir/optimizations.md,Read this README for instructions on how to dump things.,N,Instruction to read a README
908,rustc_driver_impl,gold,symbol,rustc-driver/intro.md,This builder accepts the same command-line args as rustc as well as an implementation of `Callbacks` and a couple of other optional options.,A,run_compiler builder and Callbacks trait defined in rustc_driver_impl
1048,rustc_symbol_mangling,none,bm25-top1,diagnostics.md,"The message should not contain any phrases like ""the following"", ""as shown"", etc.",N,Diagnostic message style guideline
663,rustc_builtin_macros,gold,anchor,attributes.md,"Instead, the macro is annotated with the `#rustc_builtin_macro` attribute, which tells the compiler to run a corresponding function in `rustc_builtin_macros`.",A,rustc_builtin_macro attribute dispatches to functions in rustc_builtin_macros
376,rustc_data_structures,gold,llm-only,parallel-rustc.md,"However, in the non-parallel compiler, it is implemented as `(OneThread<T>)`, whose `T` can be accessed directly through `Deref::deref`.",A,Claim about rustc_data_structures::sync::worker_local implementation (now stale)
1733,rustc_metadata,silver,llm-only,backend/libs-and-metadata.md,All of the upstream crate hashes.,N,"SVH component list; crate_hash computed in rustc_middle::hir::map, not rustc_metadata"
513,rustc_span,refers,llm-only,macro-expansion.md,"Above, we saw how the output of a macro is integrated into the AST for a crate, and we also saw how the hygiene data for a crate is generated.",N,Transitional summary sentence
371,rustc_thread_pool,gold_plus_only,symbol,parallel-rustc.md,`WorkerLocal` is a special data structure implemented for parallel compilers.,A,WorkerLocal is defined in rustc_thread_pool (and wrapped by rustc_data_structures)
72,rustc_codegen_gcc,none,bm25-top1,overview.md,"So, as you continue your journey through the rest of the guide, keep these things in mind.",N,Guide transition sentence
856,rustc_mir_build,silver,llm-only,mir/construction.md,In MIR there is no difference between method calls and function calls anymore.,A,Describes MIR lowering result: method and function calls unified by rustc_mir_build
912,rustc_driver_impl,refers,symbol,rustc-driver/intro.md,The main entry point of `rustc_interface` (`rustc_interface::run_compiler`) takes a configuration variable for the compiler and a `closure` taking a yet unresolved `Compiler`.,N,Describes rustc_interface::run_compiler and Compiler; nothing from rustc_driver_impl
879,rustc_mir_transform,gold,symbol,mir/passes.md,"As you can see from its source, a MIR pass is defined by first defining a dummy type, a struct with no fields: for which we implement the `MirPass` trait.",A,MirPass trait and pass definition pattern belong to rustc_mir_transform
35,rustc_hir,gold_plus_only,anchor,overview.md,"Next the `AST` is converted into High-Level Intermediate Representation (`HIR`), a more compiler-friendly representation of the `AST`.",A,Characterizes HIR as compiler-friendly AST representation; HIR datatypes defined in rustc_hir
510,rustc_expand,gold_plus_only,symbol,macro-expansion.md,In this hierarchy `ExpnData::call_site` is the `child -> parent` link.,N,ExpnData::call_site hierarchy is rustc_span hygiene data; no rustc_expand item involved
1334,rustc_infer,gold,llm-only,type-inference.md,Regions are inferenced somewhat differently from types.,A,Region inference is implemented in rustc_infer::infer::region_constraints
1038,rustc_errors,gold,multi-source,diagnostics.md,"The message that accompanies them should be understandable in the following contexts: shown as an independent sub-diagnostic (this is the default output) shown as a label pointing at the affected span (this is done automatically if some heuristics for verbosity are met) shown as a `help` sub-diagnostic with no content (used for cases where the suggestion is obvious from the text, but we still want to let tools to apply them) not shown (used for _very_ obvious cases, but we still want to allow tools to apply them) For example, to make our `qux` suggestion machine-applicable, we would do: This might emit an error like In some cases, like when the suggestion spans multiple lines or when there are multiple suggestions, the suggestions are displayed on their own: The possible values of `Applicability` are: `MachineApplicable`: Can be applied mechanically.",A,"Describes how rustc_errors emitter renders suggestions (sub-diagnostic, label, help)"
595,rustc_expand,silver,llm-only,name-resolution.md,"The input to the second phase is the syntax tree, produced by parsing input files and expanding `macros`.",R,About name resolution's input; macro expansion mentioned only as producer
1165,rustc_ast_lowering,gold,llm-only,ty.md,"It is more or less the AST (see this chapter) as it represents the syntax that the user wrote, and is obtained after parsing and some *desugaring*.",R,Describes HIR (rustc_hir); desugaring/lowering mentioned only as how it is obtained
366,rustc_data_structures,gold,multi-source,parallel-rustc.md,The underlying thread-safe data-structures used in the parallel compiler can be found in the `rustc_data_structures::sync` module.,A,Thread-safe structures located in rustc_data_structures::sync
1263,rustc_thread_pool,none,bm25-top1,ty.md,Sometimes there is a third case.,N,About Error type / delayed bugs; unrelated to rustc_thread_pool
1384,rustc_trait_selection,gold,llm-only,traits/resolution.md,"Therefore, lifetime matching is *not* considered during selection.",A,Selection ignoring lifetime matching is rustc_trait_selection behaviour
960,rustc_ast_lowering,none,bm25-top1,diagnostics.md,"Prefer ""invalid"" or a more specific word instead.",N,Diagnostic wording guideline
1351,rustc_borrowck,gold,llm-only,type-inference.md,"This is required as the NLL solver must not only know *what* regions outlive each other, but also *where*.",A,NLL region solver requirements; solver lives in rustc_borrowck::region_infer
1606,rustc_const_eval,silver,llm-only,const-eval.md,Constant evaluation can be done by calling the `const_eval_*` functions of `TyCtxt`.,R,About TyCtxt const_eval_* API defined in rustc_middle; const-eval process only referenced
402,rustc_ast,gold_plus_only,multi-source,the-parser.md,"This renders `NodeId`s pretty much useless for incremental compilation, where you want as few things as possible to change.",A,NodeId design limitation; NodeId defined in rustc_ast::node_id
1443,rustc_next_trait_solver,gold,llm-only,solve/trait-solving.md,"The most important candidates are `Impl` candidates, i.e. trait implementations written by the user, and `ParamEnv` candidates, i.e. assumptions in our current environment.",A,Impl/ParamEnv candidate kinds of the new solver in rustc_next_trait_solver
476,rustc_expand,silver,llm-only,macro-expansion.md,"For example, if we expand a macro and there is another macro invocation or definition in the generated output, then the syntax context should reflect the nesting.",N,"About SyntaxContext nesting, a rustc_span hygiene design matter"
110,rustc_query_impl,gold,llm-only,overview.md,The results of the queries are cached on disk so that the compiler can tell which queries' results changed from the last compilation and only redo those.,A,On-disk query result caching implemented in rustc_query_impl::incremental
1393,rustc_trait_selection,gold,llm-only,traits/resolution.md,If matching succeeds then we add it to a set of candidates.,A,Candidate assembly step of selection in rustc_trait_selection
1241,rustc_middle,silver,llm-only,ty.md,**Foreign** Corresponds to `extern type T`.,R,TyKind::Foreign variant defined in rustc_type_ir; rustc_middle only re-exports ty::TyKind
1493,rustc_mir_dataflow,none,bm25-top1,mir/dataflow.md,"However, this documentation is not a general introduction to dataflow analysis.",N,About the guide's scope
753,rustc_mir_build,refers,llm-only,thir.md,You can get a debug representation of the THIR by passing the `-Zunpretty=thir-flat` flag to `rustc`.,A,-Zunpretty=thir-flat output implemented in rustc_mir_build/src/thir/print.rs
713,rustc_ast_lowering,gold,anchor,hir/lowering.md,Examples of such structures include but are not limited to Parenthesis `for` loops Universal `impl Trait` Existential `impl Trait` The implementation of AST lowering is in the `rustc_ast_lowering` crate.,A,States AST lowering implementation is in rustc_ast_lowering and what it removes
1016,rustc_middle,silver,llm-only,diagnostics.md,"`Span`s are attached to most constructs in HIR and MIR, allowing for more informative error reporting.",A,Property of MIR/HIR data structures carrying Spans; MIR defined in rustc_middle
505,rustc_resolve,silver,llm-only,macro-expansion.md,"After all expansions, `foo` has context `ROOT -> id(n)` and `bar` has context `ROOT -> id(m) -> id(n)`.",N,Hygiene SyntaxContext example (rustc_span/rustc_expand); not name resolution
944,rustc_borrowck,gold,llm-only,diagnostics.md,Here are a few examples: Borrow checker errors: these are fixed errors.,A,"Property of borrowck diagnostics: fixed errors, level not user-adjustable"
112,rustc_query_impl,silver,llm-only,overview.md,"In principle, for the query-fied steps, we do each of the above for each item individually.",N,About the compiler's per-item demand-driven design as a whole
1645,rustc_codegen_ssa,gold,llm-only,backend/lowering-mir.md,"The most complicated and also the most interesting thing this module does is generating code for function calls, including the necessary unwinding handling IR.",A,rustc_codegen_ssa::mir::block generates call/unwind IR
1069,rustc_lint,none,bm25-top1,diagnostics.md,See Linting early in the compiler.,N,Cross-reference to guide section
1099,rustc_lint_defs,gold,llm-only,diagnostics.md,"In the example above, the lint is an ""edition lint"" (since its ""reason"" is `EditionError`), signifying to the user that the use of anonymous parameters will no longer compile in Rust 2018 and beyond.",A,EditionError reason semantics from FutureIncompatibleInfo in rustc_lint_defs
1309,rustc_log,none,bm25-top1,type-inference.md,The same basic concepts as above apply.,N,Filler sentence in type-inference chapter
921,rustc_errors,gold,llm-only,diagnostics.md,It indicates the severity of the message.,A,Diagnostic Level meaning; Level enum defined in rustc_errors
1109,rustc_lint,gold,symbol,diagnostics.md,Some lint groups are created automatically in `LintStore::register_lints`.,A,LintStore::register_lints auto-creating lint groups in rustc_lint
443,rustc_builtin_macros,gold,llm-only,macro-expansion.md,This is implemented only for a few special built-in macros that expect literals; expanding arguments first for some of these macro results in a smoother user experience.,A,Eager argument expansion used by literal-expecting built-in macros in rustc_builtin_macros
432,rustc_expand,gold,llm-only,macro-expansion.md,"If we can't make progress in an iteration, this represents a compile error.",A,Macro expansion fixpoint algorithm in rustc_expand::expand
1000,rustc_errors,gold_plus_only,symbol,diagnostics.md,"Something that has an extremely high confidence that is incorrect, but `warn`: Equivalent to the `warning` diagnostic level.",R,About lint levels (rustc_lint_defs); rustc_errors warning level only named
1606,rustc_middle,gold_plus_only,symbol,const-eval.md,Constant evaluation can be done by calling the `const_eval_*` functions of `TyCtxt`.,A,TyCtxt::const_eval_* wrappers defined in rustc_middle::mir::interpret::queries
1587,rustc_mir_transform,gold,multi-source,mir/optimizations.md,The list of passes run and the order in which they are run is defined by the `run_optimization_passes` function.,A,run_optimization_passes defines pass list in rustc_mir_transform
961,rustc_errors,gold,multi-source,diagnostics.md,Errors should document the span of code where they occur (use `rustc_errors::DiagCtxt`'s `span_*` methods or a diagnostic struct's `#primary_span` to easily do this).,R,Style guideline for errors; DiagCtxt span_* API only used as pointer
280,rustc_data_structures,gold_plus_only,symbol,query.md,See the definition of `Steal` for more details.,R,Bare cross-reference to Steal definition; no claim about its behaviour
892,rustc_middle,none,bm25-top1,mir/passes.md,There is a discussion of more elegant alternatives in rust-lang/rust#41710.,N,Pointer to a GitHub issue discussion
1024,rustc_errors,gold,symbol,diagnostics.md,"These methods usually have names like `span_err` or `struct_span_err` or `span_warn`, etc...",A,Names DiagCtxt emit methods (span_err etc.) of rustc_errors
167,rustc_data_structures,gold,anchor,compiler-src.md,"`Span`), or error reporting: `rustc_data_structures`, `rustc_span`, `rustc_errors`, etc.",A,Describes rustc_data_structures' role as foundational crate in dependency graph
93,rustc_middle,refers,llm-only,overview.md,It is also used for a series of optimizations and for constant evaluation (via `Miri`).,R,"About consumers of MIR (optimizations, const eval); MIR only referenced"
489,rustc_span,gold,anchor,macro-expansion.md,`ExpnData::parent` tracks the child-to-parent link in this hierarchy.,A,ExpnData::parent defined in rustc_span::hygiene
149,rustc_resolve,silver,llm-only,overview.md,"Command line parsing Guide: The Rustc Driver and Interface Driver definition: `rustc_driver` Main entry point: `rustc_session::config::build_session_options` Lexical Analysis: Lex the user program to a stream of tokens Guide: Lexing and Parsing Lexer definition: `rustc_lexer` Main entry point: `rustc_lexer::Cursor::advance_token` Parsing: Parse the stream of tokens to an Abstract Syntax Tree (AST) Guide: Lexing and Parsing Guide: Macro Expansion Guide: Name Resolution Parser definition: `rustc_parse` Main entry points: `AST` definition: `rustc_ast` Feature gating: Feature Gate Checking Early linting: **TODO** The High Level Intermediate Representation (HIR) Guide: The HIR Guide: Identifiers in the HIR Guide: The `HIR` Map Guide: Lowering `AST` to `HIR` How to view `HIR` representation for your code `cargo rustc -- -Z unpretty=hir-tree` Rustc `HIR` definition: `rustc_hir` Main entry point: **TODO** Late linting: **TODO** Type Inference Guide: Type Inference Guide: The ty Module: Representing Types (semantics) Main entry point (type inference): `InferCtxtBuilder::enter` Main entry point (type checking bodies): the `typeck` query The Mid Level Intermediate Representation (MIR) Guide: The `MIR` (Mid level IR) Definition: `rustc_middle/src/mir` Definition of sources that manipulates the MIR: `rustc_mir_build`, `rustc_mir_dataflow`, `rustc_mir_transform` The Borrow Checker Guide: MIR Borrow Check Definition: `rustc_borrowck` Main entry point: `mir_borrowck` query `MIR` Optimizations Guide: MIR Optimizations Definition: `rustc_mir_transform` Main entry point: `optimized_mir` query Code Generation Guide: Code Generation Generating Machine Code from `LLVM-IR` with LLVM - **TODO: reference?** Main entry point: `rustc_codegen_ssa::base::codegen_crate`",R,"Stage-to-crate index; name resolution listed only as a guide link, rustc_resolve not named"
182,rustc_middle,gold,anchor,compiler-src.md,"The query system is defined in `rustc_middle`, so nearly all subsequent parts of the compiler depend on this crate.",A,States the query system is defined in rustc_middle
1308,rustc_infer,gold,llm-only,type-inference.md,You can similarly enforce subtyping through `infcx.at(..).sub(..)`.,A,infcx.at().sub() is rustc_infer API for subtyping
355,rustc_public,none,bm25-top1,parallel-rustc.md,"As of November 2024, the parallel front-end is undergoing significant changes, so this page contains quite a bit of outdated information.",N,Note about page being outdated
998,rustc_errors,refers,llm-only,diagnostics.md,`deny`: Equivalent to `error` diagnostic level.,R,About lint levels (rustc_lint_defs); rustc_errors error level only named
1578,rustc_mir_transform,silver,llm-only,mir/optimizations.md,Rerun `./x test --bless tests/mir-opt/<your-test>.rs` to regenerate the MIR dumps.,N,"Test tooling instruction (./x test --bless), not crate behaviour"
67,rustc_symbol_mangling,none,bm25-top1,overview.md,Integration: a number of other tools need to use the compiler in various ways (e.g.,N,General compiler goal (integration with tools)
1289,rustc_infer,gold,llm-only,type-inference.md,"The main purpose of the inference context is to house a bunch of **inference variables** – these represent types or regions whose precise value is not yet known, but will be uncovered as we perform type-checking.",A,Purpose of InferCtxt (inference variables) in rustc_infer
684,rustc_hir,silver,llm-only,hir.md,The HIR uses a bunch of different identifiers that coexist and serve different purposes.,A,Design of HIR identifiers used by rustc_hir datatypes
154,rustc_public_bridge,refers,symbol,compiler-src.md,"`library/` contains the standard libraries (`core`, `alloc`, `std`, `proc_macro`, `test`), as well as the Rust runtime (`backtrace`, `rtstartup`, `lang_start`).",N,About library/ directory of the repository
49,rustc_codegen_llvm,gold,llm-only,overview.md,"Since `rustc` uses LLVM for code generation, the first step is to convert the `MIR` to `LLVM-IR`.",A,MIR to LLVM-IR lowering is the LLVM backend's job (rustc_codegen_llvm with codegen_ssa)
151,rustc_resolve,refers,symbol,compiler-src.md,"The `rust-lang/rust` repository consists of a single large cargo workspace containing the compiler, the standard libraries (`core`, `alloc`, `std`, `proc_macro`, `etc`), and `rustdoc`, along with the build system and a bunch of tools and submodules for building a full Rust distribution.",N,About repository workspace layout
