sentence,crate,tier,pattern,chapter,text,verdict(A/R/N)
1393,rustc_trait_selection,gold,llm-only,traits/resolution.md,If matching succeeds then we add it to a set of candidates.,
1241,rustc_middle,silver,llm-only,ty.md,**Foreign** Corresponds to `extern type T`.,
1493,rustc_mir_dataflow,none,bm25-top1,mir/dataflow.md,"However, this documentation is not a general introduction to dataflow analysis.",
753,rustc_mir_build,refers,llm-only,thir.md,You can get a debug representation of the THIR by passing the `-Zunpretty=thir-flat` flag to `rustc`.,
713,rustc_ast_lowering,gold,anchor,hir/lowering.md,Examples of such structures include but are not limited to Parenthesis `for` loops Universal `impl Trait` Existential `impl Trait` The implementation of AST lowering is in the `rustc_ast_lowering` crate.,
1016,rustc_middle,silver,llm-only,diagnostics.md,"`Span`s are attached to most constructs in HIR and MIR, allowing for more informative error reporting.",
505,rustc_resolve,silver,llm-only,macro-expansion.md,"After all expansions, `foo` has context `ROOT -> id(n)` and `bar` has context `ROOT -> id(m) -> id(n)`.",
944,rustc_borrowck,gold,llm-only,diagnostics.md,Here are a few examples: Borrow checker errors: these are fixed errors.,
112,rustc_query_impl,silver,llm-only,overview.md,"In principle, for the query-fied steps, we do each of the above for each item individually.",
1645,rustc_codegen_ssa,gold,llm-only,backend/lowering-mir.md,"The most complicated and also the most interesting thing this module does is generating code for function calls, including the necessary unwinding handling IR.",
1069,rustc_lint,none,bm25-top1,diagnostics.md,See Linting early in the compiler.,
1099,rustc_lint_defs,gold,llm-only,diagnostics.md,"In the example above, the lint is an ""edition lint"" (since its ""reason"" is `EditionError`), signifying to the user that the use of anonymous parameters will no longer compile in Rust 2018 and beyond.",
1309,rustc_log,none,bm25-top1,type-inference.md,The same basic concepts as above apply.,
921,rustc_errors,gold,llm-only,diagnostics.md,It indicates the severity of the message.,
1109,rustc_lint,gold,symbol,diagnostics.md,Some lint groups are created automatically in `LintStore::register_lints`.,
443,rustc_builtin_macros,gold,llm-only,macro-expansion.md,This is implemented only for a few special built-in macros that expect literals; expanding arguments first for some of these macro results in a smoother user experience.,
432,rustc_expand,gold,llm-only,macro-expansion.md,"If we can't make progress in an iteration, this represents a compile error.",
1000,rustc_errors,gold_plus_only,symbol,diagnostics.md,"Something that has an extremely high confidence that is incorrect, but `warn`: Equivalent to the `warning` diagnostic level.",
1606,rustc_middle,gold_plus_only,symbol,const-eval.md,Constant evaluation can be done by calling the `const_eval_*` functions of `TyCtxt`.,
1587,rustc_mir_transform,gold,multi-source,mir/optimizations.md,The list of passes run and the order in which they are run is defined by the `run_optimization_passes` function.,
961,rustc_errors,gold,multi-source,diagnostics.md,Errors should document the span of code where they occur (use `rustc_errors::DiagCtxt`'s `span_*` methods or a diagnostic struct's `#primary_span` to easily do this).,
280,rustc_data_structures,gold_plus_only,symbol,query.md,See the definition of `Steal` for more details.,
892,rustc_middle,none,bm25-top1,mir/passes.md,There is a discussion of more elegant alternatives in rust-lang/rust#41710.,
1024,rustc_errors,gold,symbol,diagnostics.md,"These methods usually have names like `span_err` or `struct_span_err` or `span_warn`, etc...",
167,rustc_data_structures,gold,anchor,compiler-src.md,"`Span`), or error reporting: `rustc_data_structures`, `rustc_span`, `rustc_errors`, etc.",
93,rustc_middle,refers,llm-only,overview.md,It is also used for a series of optimizations and for constant evaluation (via `Miri`).,
489,rustc_span,gold,anchor,macro-expansion.md,`ExpnData::parent` tracks the child-to-parent link in this hierarchy.,
149,rustc_resolve,silver,llm-only,overview.md,"Command line parsing Guide: The Rustc Driver and Interface Driver definition: `rustc_driver` Main entry point: `rustc_session::config::build_session_options` Lexical Analysis: Lex the user program to a stream of tokens Guide: Lexing and Parsing Lexer definition: `rustc_lexer` Main entry point: `rustc_lexer::Cursor::advance_token` Parsing: Parse the stream of tokens to an Abstract Syntax Tree (AST) Guide: Lexing and Parsing Guide: Macro Expansion Guide: Name Resolution Parser definition: `rustc_parse` Main entry points: `AST` definition: `rustc_ast` Feature gating: Feature Gate Checking Early linting: **TODO** The High Level Intermediate Representation (HIR) Guide: The HIR Guide: Identifiers in the HIR Guide: The `HIR` Map Guide: Lowering `AST` to `HIR` How to view `HIR` representation for your code `cargo rustc -- -Z unpretty=hir-tree` Rustc `HIR` definition: `rustc_hir` Main entry point: **TODO** Late linting: **TODO** Type Inference Guide: Type Inference Guide: The ty Module: Representing Types (semantics) Main entry point (type inference): `InferCtxtBuilder::enter` Main entry point (type checking bodies): the `typeck` query The Mid Level Intermediate Representation (MIR) Guide: The `MIR` (Mid level IR) Definition: `rustc_middle/src/mir` Definition of sources that manipulates the MIR: `rustc_mir_build`, `rustc_mir_dataflow`, `rustc_mir_transform` The Borrow Checker Guide: MIR Borrow Check Definition: `rustc_borrowck` Main entry point: `mir_borrowck` query `MIR` Optimizations Guide: MIR Optimizations Definition: `rustc_mir_transform` Main entry point: `optimized_mir` query Code Generation Guide: Code Generation Generating Machine Code from `LLVM-IR` with LLVM - **TODO: reference?** Main entry point: `rustc_codegen_ssa::base::codegen_crate`",
182,rustc_middle,gold,anchor,compiler-src.md,"The query system is defined in `rustc_middle`, so nearly all subsequent parts of the compiler depend on this crate.",
1308,rustc_infer,gold,llm-only,type-inference.md,You can similarly enforce subtyping through `infcx.at(..).sub(..)`.,
355,rustc_public,none,bm25-top1,parallel-rustc.md,"As of November 2024, the parallel front-end is undergoing significant changes, so this page contains quite a bit of outdated information.",
998,rustc_errors,refers,llm-only,diagnostics.md,`deny`: Equivalent to `error` diagnostic level.,
1578,rustc_mir_transform,silver,llm-only,mir/optimizations.md,Rerun `./x test --bless tests/mir-opt/<your-test>.rs` to regenerate the MIR dumps.,
67,rustc_symbol_mangling,none,bm25-top1,overview.md,Integration: a number of other tools need to use the compiler in various ways (e.g.,
1289,rustc_infer,gold,llm-only,type-inference.md,"The main purpose of the inference context is to house a bunch of **inference variables** – these represent types or regions whose precise value is not yet known, but will be uncovered as we perform type-checking.",
684,rustc_hir,silver,llm-only,hir.md,The HIR uses a bunch of different identifiers that coexist and serve different purposes.,
154,rustc_public_bridge,refers,symbol,compiler-src.md,"`library/` contains the standard libraries (`core`, `alloc`, `std`, `proc_macro`, `test`), as well as the Rust runtime (`backtrace`, `rtstartup`, `lang_start`).",
49,rustc_codegen_llvm,gold,llm-only,overview.md,"Since `rustc` uses LLVM for code generation, the first step is to convert the `MIR` to `LLVM-IR`.",
151,rustc_resolve,refers,symbol,compiler-src.md,"The `rust-lang/rust` repository consists of a single large cargo workspace containing the compiler, the standard libraries (`core`, `alloc`, `std`, `proc_macro`, `etc`), and `rustdoc`, along with the build system and a bunch of tools and submodules for building a full Rust distribution.",
149,rustc_mir_build,gold_plus_only,anchor,overview.md,"Command line parsing Guide: The Rustc Driver and Interface Driver definition: `rustc_driver` Main entry point: `rustc_session::config::build_session_options` Lexical Analysis: Lex the user program to a stream of tokens Guide: Lexing and Parsing Lexer definition: `rustc_lexer` Main entry point: `rustc_lexer::Cursor::advance_token` Parsing: Parse the stream of tokens to an Abstract Syntax Tree (AST) Guide: Lexing and Parsing Guide: Macro Expansion Guide: Name Resolution Parser definition: `rustc_parse` Main entry points: `AST` definition: `rustc_ast` Feature gating: Feature Gate Checking Early linting: **TODO** The High Level Intermediate Representation (HIR) Guide: The HIR Guide: Identifiers in the HIR Guide: The `HIR` Map Guide: Lowering `AST` to `HIR` How to view `HIR` representation for your code `cargo rustc -- -Z unpretty=hir-tree` Rustc `HIR` definition: `rustc_hir` Main entry point: **TODO** Late linting: **TODO** Type Inference Guide: Type Inference Guide: The ty Module: Representing Types (semantics) Main entry point (type inference): `InferCtxtBuilder::enter` Main entry point (type checking bodies): the `typeck` query The Mid Level Intermediate Representation (MIR) Guide: The `MIR` (Mid level IR) Definition: `rustc_middle/src/mir` Definition of sources that manipulates the MIR: `rustc_mir_build`, `rustc_mir_dataflow`, `rustc_mir_transform` The Borrow Checker Guide: MIR Borrow Check Definition: `rustc_borrowck` Main entry point: `mir_borrowck` query `MIR` Optimizations Guide: MIR Optimizations Definition: `rustc_mir_transform` Main entry point: `optimized_mir` query Code Generation Guide: Code Generation Generating Machine Code from `LLVM-IR` with LLVM - **TODO: reference?** Main entry point: `rustc_codegen_ssa::base::codegen_crate`",
1656,rustc_codegen_ssa,refers,llm-only,backend/lowering-mir.md,Everything else will use the builder interface.,
971,rustc_attr_parsing,refers,symbol,diagnostics.md,"When mentioning attributes, use this form whenever possible: ""the `inline` attribute"".",
98,rustc_llvm,silver,llm-only,overview.md,`LLVM-IR` is designed to be easy for other compilers to emit and also rich enough for LLVM to run a bunch of optimizations on it.,
1448,rustc_middle,refers,symbol,solve/trait-solving.md,"The trait solver can either return success, ambiguity or an error as a `CanonicalResponse`.",
1609,rustc_middle,gold_plus_only,symbol,const-eval.md,"`const_eval_global_id` evaluate a constant to an ""opaque blob"" containing its final value; this is only useful for codegen backends and the CTFE evaluator engine itself.",
1361,rustc_trait_selection,gold,llm-only,traits/resolution.md,"Note that in some cases, like generic functions, we may not be able to find a specific impl, but we can figure out that the caller must provide an impl.",
306,rustc_middle,gold_plus_only,anchor,memory.md,"`TraitRef`, typically passed by value – a **trait reference** consists of a reference to a trait along with its various type parameters (including `Self`), like `i32: Display` (here, the def-id would reference the `Display` trait, and the args would contain `i32`).",
636,rustc_incremental,none,bm25-top1,name-resolution.md,"Is it a pass and then the result is only used, or can it be computed incrementally?",
1629,rustc_monomorphize,gold,llm-only,backend/monomorph.md,These are the functions that will have machine code generated for them.,
1243,rustc_ast,refers,symbol,ty.md,"When the user writes `&str`, `Str` is how we represent the `str` part of that type.",
189,rustc_interface,gold,anchor,compiler-src.md,At the top of the dependency tree is `rustc_driver` and `rustc_interface` which is an unstable wrapper around the query system helping drive various stages of compilation.,
149,rustc_driver,gold,anchor,overview.md,"Command line parsing Guide: The Rustc Driver and Interface Driver definition: `rustc_driver` Main entry point: `rustc_session::config::build_session_options` Lexical Analysis: Lex the user program to a stream of tokens Guide: Lexing and Parsing Lexer definition: `rustc_lexer` Main entry point: `rustc_lexer::Cursor::advance_token` Parsing: Parse the stream of tokens to an Abstract Syntax Tree (AST) Guide: Lexing and Parsing Guide: Macro Expansion Guide: Name Resolution Parser definition: `rustc_parse` Main entry points: `AST` definition: `rustc_ast` Feature gating: Feature Gate Checking Early linting: **TODO** The High Level Intermediate Representation (HIR) Guide: The HIR Guide: Identifiers in the HIR Guide: The `HIR` Map Guide: Lowering `AST` to `HIR` How to view `HIR` representation for your code `cargo rustc -- -Z unpretty=hir-tree` Rustc `HIR` definition: `rustc_hir` Main entry point: **TODO** Late linting: **TODO** Type Inference Guide: Type Inference Guide: The ty Module: Representing Types (semantics) Main entry point (type inference): `InferCtxtBuilder::enter` Main entry point (type checking bodies): the `typeck` query The Mid Level Intermediate Representation (MIR) Guide: The `MIR` (Mid level IR) Definition: `rustc_middle/src/mir` Definition of sources that manipulates the MIR: `rustc_mir_build`, `rustc_mir_dataflow`, `rustc_mir_transform` The Borrow Checker Guide: MIR Borrow Check Definition: `rustc_borrowck` Main entry point: `mir_borrowck` query `MIR` Optimizations Guide: MIR Optimizations Definition: `rustc_mir_transform` Main entry point: `optimized_mir` query Code Generation Guide: Code Generation Generating Machine Code from `LLVM-IR` with LLVM - **TODO: reference?** Main entry point: `rustc_codegen_ssa::base::codegen_crate`",
941,rustc_lint,gold,llm-only,diagnostics.md,"Some messages are emitted via lints, where the user can control the level.",
729,rustc_ast_lowering,gold,llm-only,hir/lowering.md,"This is done by calling the `next_id` method, which produces both a new `NodeId` as well as automatically lowering it for you so you also get the `HirId`.",
340,rustc_metadata,gold_plus_only,anchor,serialization.md,"They generate implementations that decode with the metadata blob decoders in `rustc_metadata::rmeta`; use `BlobDecodable` when the type has no lazy metadata handles, and `LazyDecodable` when it does.",
713,rustc_ast,refers,llm-only,hir/lowering.md,Examples of such structures include but are not limited to Parenthesis `for` loops Universal `impl Trait` Existential `impl Trait` The implementation of AST lowering is in the `rustc_ast_lowering` crate.,
1211,rustc_middle,silver,llm-only,ty.md,"This is because often in Rust there are multiple ways to represent the same type, particularly once inference is involved.",
1568,rustc_mir_transform,gold,llm-only,mir/optimizations.md,"Then, it steals the MIR, optimizes it, and returns the improved MIR.",
504,rustc_span,gold_plus_only,multi-source,macro-expansion.md,"Example 2: Note that these chains are not entirely determined by their last element, in other words `ExpnId` is not isomorphic to `SyntaxContext`.",
757,rustc_mir_transform,none,bm25-top1,mir/index.md,MIR was introduced in RFC 1211.,
996,rustc_errors,gold,symbol,diagnostics.md,"`note` should be used for everything else, such as other context, information and facts, online resources to read, etc.",
1010,rustc_driver_impl,silver,llm-only,diagnostics.md,"Invoking `rustc` with the nightly-only flag `-Z treat-err-as-bug=1` will treat the first error being emitted as an Internal Compiler Error, which allows you to get a stack trace at the point the error has been emitted.",
515,rustc_expand,silver,llm-only,macro-expansion.md,It depends on the type of macro.,
1034,rustc_attr_parsing,none,bm25-top1,diagnostics.md,Be conservative when choosing the level.,
5,rustc_attr_parsing,none,bm25-top1,overview.md,"For now, we will avoid mentioning how the compiler implements these steps except as needed.",
1197,rustc_middle,gold,anchor,ty.md,`rustc_middle::ty::Ty` is actually a wrapper around `Interned<WithCachedTypeInfo<TyKind>>`.,
1735,rustc_incremental,gold,llm-only,backend/libs-and-metadata.md,"Hashes of certain command-line flags (like `-C metadata` via the Stable Crate Id, and all CLI options marked with `TRACKED`).",
226,rustc_query_impl,gold,llm-only,query.md,"Although this vision is not fully realized, large sections of the compiler (for example, generating MIR) currently work exactly like this. in-depth description of what queries are and how they work.",
1110,rustc_lint_defs,gold,symbol,diagnostics.md,"For instance, any lint declared with `FutureIncompatibleInfo` where the reason is `FutureIncompatibilityReason::FutureReleaseError` (the default when `@future_incompatible` is used in `declare_lint!`), will be added to the `future_incompatible` lint group.",
674,rustc_ast,refers,symbol,hir.md,"You can view the HIR representation of your code by passing the `-Z unpretty=hir-tree` flag to rustc: that is closer to the original source code expression: The top-level data-structure in the HIR is the `Crate`, which stores the contents of the crate currently being compiled (we only ever construct HIR for the current crate).",
1011,rustc_driver_impl,silver,llm-only,diagnostics.md,Change the `1` to something else if you wish to trigger on a later error.,
1086,rustc_lint_defs,gold,symbol,diagnostics.md,"To do this, we just add the transition to our invocation of `declare_lint!`: This makes the `ANONYMOUS_PARAMETERS` lint allow-by-default in the 2015 edition but warn-by-default in the 2018 edition.",
374,rustc_arena,gold_plus_only,symbol,parallel-rustc.md,"`WorkerLocal` is used to implement the `Arena` allocator in the parallel environment, which is critical in parallel queries.",
1439,rustc_type_ir,gold_plus_only,symbol,solve/trait-solving.md,See the `PredicateKind` enum for an exhaustive list.,
1216,rustc_infer,silver,llm-only,ty.md,"This is typically what you want to check during diagnostics, which is concerned with questions such as whether two types can be assigned to each other, not whether they're represented identically in the compiler's type-checking layer.",
