"evidence_id","reviewer","cluster_id","fit_level","points","title","venue_year","authors","source_url","source_type","citation_recommendation","fit_note"
"E042","Gabriele Bavota","C2","Direct","3","Automatic Query Reformulations for Text Retrieval in Software Engineering","ICSE (2013)","Sonia Haiduc; Gabriele Bavota; Andrian Marcus; Rocco Oliveto; Andrea De Lucia; Tim Menzies","https://doi.org/10.1109/ICSE.2013.6606630","DOI","HIGH","Retrieval vocabulary gap and query reformulation for TLR and related SE tasks."
"E043","Gabriele Bavota","C2","Direct","3","The Role of Artefact Corpus in LSI-based Traceability Recovery","TEFSE (2013)","Gabriele Bavota; A. De Lucia; R. Oliveto; A. Panichella; F. Ricci; G. Tortora","https://people.lu.usi.ch/bavotg/pages/publications.html","Author publication page","HIGH","Corpus choice for traceability recovery."
"E044","Gabriele Bavota","C2","Direct","3","Using Code Ownership to Improve IR-based Traceability Link Recovery","ICPC (2013)","D. Diaz; Gabriele Bavota; Andrian Marcus; Rocco Oliveto; S. Takahashi; A. De Lucia","https://people.lu.usi.ch/bavotg/pages/publications.html","Author publication page","HIGH","Repository/project context as traceability evidence."
"E045","Massimiliano Di Penta","C2","Adjacent","1","Unveiling ChatGPT’s Usage in Open Source Projects: A Mining-based Study","MSR (2024)","Rosalia Tufano; Antonio Mastropaolo; Federica Pepe; Ozren Dabić; Massimiliano Di Penta; Gabriele Bavota","https://doi.org/10.1145/3643991.3644918","DOI","CONTEXT","Empirical LLM-for-SE usage study, not TLR."
"E046","Massimiliano Di Penta","C2","Adjacent","1","GPTSniffer: A CodeBERT-based classifier to detect source code written by ChatGPT","Journal of Systems and Software (2024)","Phuong Nguyen; Juri Rocco; Claudio Sipio; Riccardo Rubei; Davide Di Ruscio; Massimiliano Di Penta","https://mdipenta.github.io/publications/","Author publication page","CONTEXT","LLM-generated-code detection and empirical evaluation."
"E047","Massimiliano Di Penta","C2","Adjacent","1","Scoping Software Engineering for AI: The TSE Perspective","IEEE Transactions on Software Engineering (2024)","Sebastián Uchitel; Marsha Chechik; Massimiliano Di Penta; et al.","https://mdipenta.github.io/publications/","Author publication page","CONTEXT","Broad AI-for-SE research scope."
"E048","Massimiliano Di Penta","C2","Adjacent","1","Students’ Perception of ChatGPT in Software Engineering: Lessons Learned from Five Courses","Journal/venue record","Luciano Baresi; Andrea De Lucia; Antinisca Di Marco; Massimiliano Di Penta; et al.","https://dblp.org/pid/d/MassimilianoDiPenta.html","DBLP author record","CONTEXT","Empirical human/LLM interaction in software engineering."
"E049","Alberto Bacchelli","C1","Adjacent","1","Mining Structured Data in Natural Language Artifacts with Island Parsing","Science of Computer Programming (2017)","Alberto Bacchelli; Andrea Mocci; Anthony Cleve; Michele Lanza","https://doi.org/10.1016/j.scico.2017.06.009","DOI","CONTEXT","Structured extraction from noisy natural-language artifacts."
"E050","Michael Pradel","C3","Adjacent","1","TypeWriter: Neural Type Prediction with Search-based Validation","ESEC/FSE (2020)","Michael Pradel; Georgios Gousios; Jie Liu; Satish Chandra","https://doi.org/10.1145/3368089.3409715","DOI","CONTEXT","Generate-then-validate workflow analogy."
"E051","Michael Pradel","C3","Adjacent","1","De-Hallucinator: Mitigating LLM Hallucinations in Code Generation Tasks via Iterative Grounding","arXiv (2024)","Amin Eghbali; Michael Pradel","https://arxiv.org/abs/2401.01701","arXiv","CONTEXT","Iterative grounding and evidence checking for code LLMs."
"E052","Michael Pradel","C3","Adjacent","1","Calibration and Correctness of Language Models for Code","Journal/venue record","Claudio Spiess; David Gros; Kunal Suresh Pai; Michael Pradel; et al.","https://dblp.org/pid/25/2188","DBLP author record","CONTEXT","Code-model correctness/calibration, adjacent to link-judge reliability."
"E053","Baishakhi Ray","C3","Adjacent","1","On Mitigating Code LLM Hallucinations with API Documentation","arXiv (2024)","Nihal Jain; Robert Kwiatkowski; Baishakhi Ray; Murali Krishna Ramanathan; Varun Kumar","https://arxiv.org/abs/2407.09726","arXiv","CONTEXT","Documentation grounding and hallucination measurement."
"E054","Baishakhi Ray","C3","Adjacent","1","CARGO: AI-Guided Dependency Analysis for Migrating Monolithic Applications to Microservices Architecture","Publication record","Baishakhi Ray; et al.","https://www.rayb.info/publication","Author publication page","CONTEXT","AI-guided architectural dependency analysis."
"E055","Baishakhi Ray","C3","Adjacent","1","On Multi-Modal Learning of Editing Source Code","Publication record","Saikat Chakraborty; Baishakhi Ray","https://www.rayb.info/publication","Author publication page","CONTEXT","Code editing models and artifact-level evidence."
"E056","Baishakhi Ray","C3","Adjacent","1","Building Language Models for Text with Named Entities","Publication record","Baishakhi Ray; et al.","https://www.rayb.info/publication","Author publication page","CONTEXT","Named-entity representation, adjacent to alias/entity linking."
"E057","Kailong Wang","C3","Adjacent","1","Large Language Models for Software Engineering: A Systematic Literature Review","ACM TOSEM (2024)","Xinyi Hou; Yanjie Zhao; Yue Liu; Zhou Yang; Kailong Wang; et al.","https://doi.org/10.1145/3695988","DOI","CONTEXT","Broad LLM4SE taxonomy and evaluation evidence."
"E058","Xiapu Luo","C3","Adjacent","1","Large Language Models for Software Engineering: A Systematic Literature Review","ACM TOSEM (2024)","Xinyi Hou; Yanjie Zhao; Yue Liu; Zhou Yang; Kailong Wang; Li Li; Xiapu Luo; et al.","https://doi.org/10.1145/3695988","DOI","CONTEXT","Broad LLM4SE taxonomy and evaluation evidence."
"E059","Christoph Treude","C3","Direct","3","Detecting outdated code element references in software repository documentation","Empirical Software Engineering (2024)","Wen Siang Tan; Markus Wagner; Christoph Treude","https://doi.org/10.1007/s10664-023-10397-6","DOI","HIGH","Direct documentation-to-code reference maintenance."
"E060","Christoph Treude","C3","Direct","3","18 million links in commit messages: purpose, evolution, and decay","Empirical Software Engineering (2023)","Tao Xiao; Sebastian Baltes; Hideaki Hata; Christoph Treude; et al.","https://doi.org/10.1007/s10664-023-10325-8","DOI","HIGH","Large-scale empirical study of software links and their evolution."
"E061","Christoph Treude","C3","Adjacent","1","Generative AI and Empirical Software Engineering: A Paradigm Shift","arXiv (2025)","Christoph Treude; Margaret-Anne Storey","https://arxiv.org/abs/2502.08108","arXiv","CONTEXT","Empirical-method and validity context for GenAI studies."
"E062","Christoph Treude","C3","Adjacent","1","Generative AI for pull request descriptions: Adoption, impact, and developer interventions","FSE (2024)","Tao Xiao; Hideaki Hata; Christoph Treude; Kenichi Matsumoto","https://doi.org/10.1145/3643773","DOI","CONTEXT","Empirical study of AI-generated software artifacts."
"E063","Christoph Treude","C3","Adjacent","1","Large language models for qualitative research in software engineering: exploring opportunities and challenges","Automated Software Engineering (2024)","Muneera Bano; Rashina Hoda; Didar Zowghi; Christoph Treude","https://doi.org/10.1007/s10515-023-00407-8","DOI","CONTEXT","Evaluation and methodology context for LLM-supported SE research."
"E064","Antonio Mastropaolo","C3","Adjacent","1","Unveiling ChatGPT’s Usage in Open Source Projects: A Mining-based Study","MSR (2024)","Rosalia Tufano; Antonio Mastropaolo; Federica Pepe; Ozren Dabić; Massimiliano Di Penta; Gabriele Bavota","https://doi.org/10.1145/3643991.3644918","DOI","CONTEXT","Empirical LLM-for-SE usage study."
"E065","Antonio Mastropaolo","C3","Adjacent","1","Code Review Automation: Strengths and Weaknesses of the State of the Art","IEEE Transactions on Software Engineering (2024)","Rosalia Tufano; Ozren Dabić; Antonio Mastropaolo; Matteo Ciniselli; Gabriele Bavota","https://doi.org/10.1109/TSE.2023.3348172","DOI","CONTEXT","LLM/automation evaluation and limitations."
"E066","Antonio Mastropaolo","C3","Adjacent","1","Log statements generation via deep learning: Widening the support provided to developers","Journal of Systems and Software (2024)","Antonio Mastropaolo; Valentina Ferrari; Luca Pascarella; Gabriele Bavota","https://www.csauthors.net/antonio-mastropaolo/","Author publication page","CONTEXT","AI-assisted artifact generation, adjacent to workflow design."
"E067","Antonio Mastropaolo","C3","Adjacent","1","From Triumph to Uncertainty: The Journey of Software Engineering in the AI Era","CoRR (2024)","Antonio Mastropaolo; Camilo Escobar-Velásquez; Mario Linares-Vásquez","https://www.csauthors.net/antonio-mastropaolo/","Author publication page","CONTEXT","Broad AI-for-SE framing."
