project,sentence,component,stream,gold,naming,span,capitalized,mention_label,anchors,last_named_before,alternatives,covered_by_other_name,other_components_named_here
teammates,2,GAE Datastore,full_name,0,alias,GAE,True,via known alias,2,-1,0,False,0
teammates,4,UI,full_name,1,whole name,UI,True,,11,3,0,False,1
teammates,4,Client,full_name,0,whole name,client,False,,7,3,0,False,1
teammates,5,UI,full_name,1,whole name,UI,True,,11,1,0,False,0
teammates,7,UI,full_name,1,whole name,UI,True,,11,2,0,False,1
teammates,7,Logic,full_name,1,whole name,logic,False,,21,6,0,False,1
teammates,8,Logic,full_name,1,whole name,logic,False,,21,1,0,False,0
teammates,9,Storage,full_name,1,whole name,storage,False,,13,8,0,False,1
teammates,9,GAE Datastore,full_name,1,whole name,GAE Datastore,True,,1,-1,0,False,1
teammates,10,Test Driver,full_name,1,whole name,Test Driver,True,,3,9,0,False,0
teammates,11,Test Driver,partial_name,0,word only,testing,False,,4,1,0,False,0
teammates,12,Test Driver,partial_name,0,word only,Test,True,,4,2,0,False,0
teammates,13,Test Driver,partial_name,0,word only,testing,False,,4,3,0,False,0
teammates,14,Test Driver,partial_name,0,word only,tests,False,,4,4,0,False,0
teammates,15,E2E,full_name,1,whole name,E2E,True,,10,14,0,False,0
teammates,16,Test Driver,partial_name,0,word only,tests,False,,4,6,0,False,1
teammates,16,E2E,full_name,1,whole name,E2E,True,,10,1,0,False,0
teammates,17,Test Driver,partial_name,0,word only,testing,False,,4,7,0,False,1
teammates,17,E2E,full_name,0,whole name,E2E,True,,10,1,0,False,0
teammates,18,Client,full_name,1,whole name,Client,True,,7,14,0,False,0
teammates,20,Common,full_name,1,whole name,Common,True,,11,19,0,False,0
teammates,22,UI,full_name,0,whole name,ui,False,"lowercase, inside qualified name",11,15,0,False,1
teammates,22,Logic,full_name,0,whole name,logic,False,,21,14,0,False,1
teammates,23,UI,full_name,0,whole name,ui,False,"lowercase, inside qualified name",11,1,0,False,0
teammates,25,UI,full_name,1,whole name,UI,True,,11,2,0,False,0
teammates,26,UI,full_name,0,whole name,ui,False,"lowercase, inside qualified name",11,1,0,False,0
teammates,29,UI,full_name,1,whole name,UI,True,,11,3,0,False,0
teammates,31,GAE Datastore,full_name,0,alias,GAE,True,via known alias,2,22,0,False,0
teammates,35,GAE Datastore,full_name,0,alias,GAE,True,via known alias,2,26,0,False,0
teammates,47,Logic,full_name,1,whole name,Logic,True,,21,25,0,False,0
teammates,49,Common,full_name,0,whole name,common,False,,11,29,0,False,0
teammates,56,Test Driver,partial_name,0,word only,testing,False,,4,46,0,False,0
teammates,58,GAE Datastore,full_name,0,alias,GAE,True,via known alias,2,49,0,False,0
teammates,62,GAE Datastore,full_name,0,alias,GAE,True,via known alias,2,53,0,False,0
teammates,64,Test Driver,partial_name,0,word only,testing,False,,4,54,0,False,0
teammates,68,Logic,full_name,1,whole name,Logic,True,,21,21,0,False,0
teammates,69,GAE Datastore,full_name,0,alias,GAE,True,via known alias,2,60,0,False,0
teammates,73,GAE Datastore,full_name,0,alias,GAE,True,via known alias,2,64,0,False,0
teammates,74,GAE Datastore,full_name,0,alias,GAE,True,via known alias,2,65,0,False,0
teammates,77,Logic,full_name,1,whole name,Logic,True,,21,9,0,False,0
teammates,79,Logic,full_name,0,whole name,logic,False,,21,2,0,False,0
teammates,81,UI,full_name,1,whole name,UI,True,,11,52,0,False,0
teammates,83,GAE Datastore,full_name,0,alias,GAE,True,via known alias,2,74,0,False,0
teammates,84,Logic,full_name,0,whole name,logic,False,"lowercase, inside qualified name",21,5,0,False,0
teammates,85,UI,full_name,1,whole name,UI,True,,11,4,0,False,1
teammates,85,Logic,full_name,0,whole name,logic,False,"lowercase, inside qualified name",21,1,0,False,1
teammates,86,Logic,full_name,0,whole name,logic,False,,21,1,0,False,0
teammates,87,Logic,full_name,1,whole name,Logic,True,,21,1,0,False,0
teammates,88,Logic,full_name,1,whole name,Logic,True,,21,1,0,False,1
teammates,88,Storage,full_name,1,whole name,Storage,True,,13,79,0,False,1
teammates,94,GAE Datastore,full_name,0,alias,GAE,True,via known alias,2,85,0,False,0
teammates,97,UI,full_name,1,whole name,UI,True,,11,12,0,False,1
teammates,97,Logic,full_name,1,whole name,Logic,True,,21,9,0,False,1
teammates,101,Storage,full_name,1,whole name,Storage,True,,13,13,0,False,0
teammates,117,Logic,full_name,0,whole name,logic,False,,21,20,0,False,0
teammates,118,Storage,full_name,1,whole name,Storage,True,,13,17,0,False,0
teammates,119,Logic,full_name,0,whole name,logic,False,,21,2,0,False,0
teammates,122,Logic,full_name,1,whole name,Logic,True,,21,3,0,False,0
teammates,122,GAE Datastore,partial_name,1,word only,datastore,False,,2,113,0,False,1
teammates,123,Storage,full_name,1,whole name,Storage,True,,13,5,0,False,0
teammates,125,Storage,full_name,0,whole name,storage,False,"lowercase, inside qualified name",13,2,0,False,0
teammates,127,Common,full_name,0,whole name,common,False,"lowercase, inside qualified name",11,78,0,False,0
teammates,128,Storage,full_name,1,whole name,Storage,True,,13,3,0,False,0
teammates,129,Logic,full_name,1,whole name,logic,False,,21,7,0,False,0
teammates,130,Storage,full_name,0,whole name,storage,False,"lowercase, inside qualified name",13,2,0,False,0
teammates,131,Logic,full_name,1,whole name,logic,False,,21,2,0,False,1
teammates,131,Storage,full_name,0,whole name,storage,False,"lowercase, inside qualified name",13,1,0,False,1
teammates,132,Storage,full_name,0,whole name,storage,False,"lowercase, inside qualified name",13,1,0,False,0
teammates,133,Storage,full_name,0,whole name,storage,False,"lowercase, inside qualified name",13,1,0,False,0
teammates,137,GAE Datastore,full_name,1,whole name,GAE Datastore,True,,1,128,0,False,0
teammates,138,GAE Datastore,partial_name,1,word only,datastore,False,,2,1,0,False,0
teammates,139,GAE Datastore,full_name,0,alias,GAE,True,via known alias,2,2,0,False,0
teammates,140,Test Driver,partial_name,0,word only,test,False,,4,130,0,False,0
teammates,141,GAE Datastore,partial_name,1,word only,datastore,False,,2,4,0,False,0
teammates,144,GAE Datastore,full_name,0,alias,GAE,True,via known alias,2,7,0,False,0
teammates,155,Common,full_name,1,whole name,Common,True,,11,28,0,False,0
teammates,156,Common,full_name,0,whole name,common,False,"lowercase, inside qualified name",11,1,0,False,0
teammates,157,Common,full_name,0,whole name,common,False,"lowercase, inside qualified name",11,1,0,False,0
teammates,158,Common,full_name,0,whole name,common,False,"lowercase, inside qualified name",11,1,0,False,0
teammates,159,Common,full_name,0,whole name,common,False,"lowercase, inside qualified name",11,1,0,False,0
teammates,160,Common,full_name,0,whole name,common,False,"lowercase, inside qualified name",11,1,0,False,0
teammates,163,Test Driver,full_name,1,whole name,Test Driver,True,,3,153,0,False,0
teammates,168,Test Driver,partial_name,1,word only,testing,False,,4,5,0,False,0
teammates,169,Test Driver,partial_name,0,word only,test,False,,4,6,0,False,0
teammates,170,Test Driver,partial_name,0,word only,test,False,,4,7,0,False,0
teammates,171,Test Driver,partial_name,0,word only,test,False,,4,8,0,False,0
teammates,172,Logic,full_name,0,whole name,logic,False,"lowercase, inside qualified name",21,41,0,False,1
teammates,172,Storage,full_name,0,whole name,storage,False,"lowercase, inside qualified name",13,39,0,False,1
teammates,173,Test Driver,full_name,0,whole name,test driver,False,,3,10,0,False,0
teammates,174,Test Driver,partial_name,0,word only,test,False,,4,1,0,False,1
teammates,174,Common,full_name,1,whole name,Common,True,,11,14,0,False,0
teammates,175,Test Driver,partial_name,0,word only,test,False,,4,2,0,False,1
teammates,175,Common,full_name,1,whole name,Common,True,,11,1,0,False,0
teammates,176,Logic,full_name,1,whole name,logic,False,"lowercase, inside qualified name",21,4,0,False,0
teammates,176,Test Driver,partial_name,0,word only,test,False,,4,3,0,False,1
teammates,177,Storage,full_name,1,whole name,storage,False,"lowercase, inside qualified name",13,5,0,False,0
teammates,177,Test Driver,partial_name,0,word only,test,False,,4,4,0,False,1
teammates,178,Test Driver,partial_name,0,word only,test,False,,4,5,0,False,0
teammates,179,Test Driver,partial_name,0,word only,test,False,,4,6,0,False,0
teammates,180,Test Driver,partial_name,0,word only,test,False,,4,7,0,False,0
teammates,181,Test Driver,partial_name,0,word only,tests,False,,4,8,0,False,0
teammates,182,Test Driver,partial_name,0,word only,tested,False,,4,9,0,False,0
teammates,183,Test Driver,partial_name,0,word only,test,False,,4,10,0,False,0
teammates,184,Test Driver,partial_name,0,word only,testing,False,,4,11,0,False,0
teammates,185,Logic,full_name,1,whole name,logic,False,,21,9,0,False,1
teammates,185,E2E,full_name,1,whole name,E2E,True,,10,168,0,False,1
teammates,186,Test Driver,partial_name,0,word only,tests,False,,4,13,0,False,1
teammates,186,E2E,full_name,1,whole name,E2E,True,,10,1,0,False,0
teammates,187,E2E,full_name,0,whole name,e2e,False,"lowercase, inside qualified name",10,1,0,False,0
teammates,188,Test Driver,partial_name,0,word only,tests,False,,4,15,0,False,1
teammates,188,E2E,full_name,0,whole name,e2e,False,"lowercase, inside qualified name",10,1,0,False,0
teammates,189,E2E,full_name,0,whole name,e2e,False,"lowercase, inside qualified name",10,1,0,False,0
teammates,190,Test Driver,partial_name,0,word only,test,False,,4,17,0,False,1
teammates,190,E2E,full_name,0,whole name,e2e,False,"lowercase, inside qualified name",10,1,0,False,0
teammates,191,Test Driver,partial_name,0,word only,test,False,,4,18,0,False,0
teammates,192,Test Driver,partial_name,0,word only,test,False,,4,19,0,False,1
teammates,192,E2E,full_name,0,whole name,e2e,False,"lowercase, inside qualified name",10,2,0,False,0
teammates,193,Test Driver,partial_name,0,word only,tests,False,,4,20,0,False,0
teammates,194,Client,full_name,1,whole name,Client,True,,7,176,0,False,0
teammates,195,Client,full_name,0,whole name,client,False,"lowercase, inside qualified name",7,1,0,False,0
teammates,196,Client,full_name,0,whole name,client,False,,7,1,0,False,0
teammates,197,Client,full_name,0,whole name,client,False,"lowercase, inside qualified name",7,1,0,False,0
teammates,198,Client,full_name,0,whole name,client,False,"lowercase, inside qualified name",7,1,0,False,0
bigbluebutton,4,HTML5 Client,full_name,1,whole name,HTML5 client,True,,4,-1,1,False,0
bigbluebutton,5,HTML5 Client,full_name,1,whole name,HTML5 client,True,,4,1,1,False,0
bigbluebutton,5,BBB web,partial_name,0,word only,web,False,,1,-1,0,False,1
bigbluebutton,5,WebRTC-SFU,partial_name,0,word only,WebRTC,True,,2,-1,0,False,1
bigbluebutton,6,HTML5 Client,full_name,1,whole name,HTML5 client,True,,4,1,1,False,0
bigbluebutton,6,BBB web,partial_name,0,word only,web,False,,1,-1,0,False,1
bigbluebutton,6,HTML5 Server,partial_name,1,word only,HTML5,True,,3,-1,1,False,1
bigbluebutton,8,HTML5 Server,full_name,1,whole name,HTML5 server,True,,2,-1,1,False,0
bigbluebutton,9,HTML5 Client,partial_name,1,word only,HTML5,True,,5,3,1,False,1
bigbluebutton,9,HTML5 Server,full_name,1,whole name,HTML5 server,True,,2,1,1,False,0
bigbluebutton,10,HTML5 Client,partial_name,1,word only,client,False,,5,4,1,False,0
bigbluebutton,10,HTML5 Server,partial_name,1,word only,server,False,,3,1,1,False,0
bigbluebutton,11,HTML5 Client,partial_name,1,word only,client,False,,5,5,0,False,0
bigbluebutton,12,HTML5 Client,partial_name,1,word only,client,False,,5,6,1,False,0
bigbluebutton,12,HTML5 Server,partial_name,1,word only,server,False,,3,3,1,False,0
bigbluebutton,13,HTML5 Client,partial_name,1,word only,client,False,,5,7,1,False,0
bigbluebutton,13,HTML5 Server,partial_name,1,word only,server,False,,3,4,1,False,0
bigbluebutton,14,HTML5 Client,full_name,1,whole name,HTML5 client,True,,4,8,1,False,0
bigbluebutton,15,HTML5 Server,full_name,1,whole name,HTML5 server,True,,2,6,1,False,0
bigbluebutton,16,HTML5 Client,partial_name,0,word only,client,False,,5,2,0,False,0
bigbluebutton,18,HTML5 Server,partial_name,0,word only,server,False,,3,3,0,False,0
bigbluebutton,19,HTML5 Client,full_name,1,alias,bbb-html5,False,via known alias,5,5,1,False,0
bigbluebutton,19,BBB web,partial_name,0,word only,bbb,False,,1,-1,0,False,1
bigbluebutton,19,HTML5 Server,partial_name,1,word only,html5,False,,3,4,1,False,1
bigbluebutton,20,HTML5 Client,full_name,0,alias,bbb-html5,False,via known alias,5,6,1,False,0
bigbluebutton,20,BBB web,partial_name,0,word only,bbb,False,,1,-1,0,False,1
bigbluebutton,20,HTML5 Server,partial_name,1,word only,html5,False,,3,5,1,False,1
bigbluebutton,21,HTML5 Client,full_name,0,alias,bbb-html5,False,via known alias,5,7,1,False,0
bigbluebutton,21,BBB web,partial_name,0,word only,bbb,False,,1,-1,0,False,1
bigbluebutton,21,HTML5 Server,partial_name,1,word only,html5,False,,3,6,1,False,1
bigbluebutton,26,Apps,full_name,1,whole name,apps,False,,4,-1,0,False,0
bigbluebutton,27,Redis PubSub,partial_name,0,word only,redis,False,,4,-1,1,False,0
bigbluebutton,27,Redis DB,partial_name,0,word only,redis,False,,2,-1,1,False,0
bigbluebutton,30,BBB web,partial_name,1,word only,bbb,False,,1,-1,0,False,0
bigbluebutton,31,Redis PubSub,partial_name,0,word only,redis,False,,4,-1,1,False,0
bigbluebutton,31,Redis DB,partial_name,0,word only,redis,False,,2,-1,1,False,0
bigbluebutton,33,BBB web,partial_name,0,word only,bbb,False,,1,-1,0,False,0
bigbluebutton,36,BBB web,full_name,1,whole name,BBB web,True,,0,-1,0,False,0
bigbluebutton,37,BBB web,full_name,1,alias,BigBlueButton web application,True,via known alias,1,1,0,False,0
bigbluebutton,39,HTML5 Server,partial_name,1,word only,server,False,,3,24,0,False,0
bigbluebutton,43,Recording Service,partial_name,0,word only,recordings,False,,0,-1,0,False,0
bigbluebutton,46,Redis PubSub,full_name,1,whole name,Redis PubSub,True,,3,-1,1,False,0
bigbluebutton,47,Redis PubSub,full_name,1,whole name,Redis PubSub,True,,3,1,1,False,0
bigbluebutton,47,HTML5 Server,partial_name,1,word only,server,False,,3,32,0,False,1
bigbluebutton,48,Redis DB,full_name,1,whole name,Redis DB,True,,1,-1,1,False,0
bigbluebutton,49,Redis DB,full_name,1,whole name,Redis DB,True,,1,1,1,False,0
bigbluebutton,49,Recording Service,partial_name,0,word only,recorded,False,,0,-1,0,False,1
bigbluebutton,50,Recording Service,full_name,0,alias,Recording Processor,True,via known alias,0,-1,0,False,0
bigbluebutton,51,Apps,full_name,1,whole name,Apps,True,,4,25,0,False,0
bigbluebutton,52,Apps,full_name,1,whole name,Apps,True,,4,1,0,False,0
bigbluebutton,53,Presentation Conversion,partial_name,0,word only,presentations,False,,2,-1,0,False,0
bigbluebutton,54,Apps,full_name,1,whole name,Apps,True,,4,2,0,False,0
bigbluebutton,57,FSESL,full_name,1,whole name,FSESL,True,,0,-1,0,False,0
bigbluebutton,58,FreeSWITCH,full_name,1,whole name,FreeSWITCH,True,,7,-1,0,False,0
bigbluebutton,59,FreeSWITCH,full_name,1,whole name,FreeSWITCH,True,,7,1,0,False,0
bigbluebutton,60,Redis PubSub,full_name,1,whole name,redis pubsub,False,,3,13,1,False,3
bigbluebutton,60,FSESL,full_name,1,alias,fsels,False,via known alias,1,3,0,False,3
bigbluebutton,60,Apps,full_name,1,whole name,apps,False,,4,6,0,False,3
bigbluebutton,60,FreeSWITCH,full_name,0,whole name,FreeSWITCH,True,,7,1,0,False,3
bigbluebutton,61,FreeSWITCH,full_name,1,whole name,FreeSWITCH,True,,7,1,0,False,0
bigbluebutton,62,FreeSWITCH,full_name,1,whole name,FreeSWITCH,True,,7,1,0,False,0
bigbluebutton,63,FreeSWITCH,full_name,1,whole name,FreeSWITCH,True,,7,1,0,False,0
bigbluebutton,65,WebRTC-SFU,partial_name,1,word only,WebRTC,True,,2,-1,0,False,0
bigbluebutton,66,FreeSWITCH,full_name,1,whole name,FreeSWITCH,True,,7,3,0,False,0
bigbluebutton,67,kurento,full_name,1,whole name,Kurento,True,,1,-1,0,False,1
bigbluebutton,67,WebRTC-SFU,full_name,1,whole name,WebRTC-SFU,True,,1,-1,0,False,1
bigbluebutton,68,kurento,full_name,1,whole name,Kurento,True,,1,1,0,False,0
bigbluebutton,68,WebRTC-SFU,partial_name,0,word only,SFU,True,,2,1,0,False,1
bigbluebutton,68,HTML5 Server,partial_name,0,word only,Server,True,,3,53,0,False,1
bigbluebutton,69,kurento,full_name,1,alias,KMS,True,via known alias,2,1,0,False,0
bigbluebutton,70,WebRTC-SFU,full_name,1,whole name,WebRTC-SFU,True,,1,3,0,False,0
bigbluebutton,72,HTML5 Client,full_name,1,whole name,HTML5 client,True,,4,58,1,False,1
bigbluebutton,72,FreeSWITCH,full_name,1,whole name,FreeSWITCH,True,,7,6,0,False,1
bigbluebutton,73,HTML5 Client,partial_name,1,word only,client,False,,5,1,1,False,0
bigbluebutton,73,WebRTC-SFU,partial_name,1,word only,WebRTC,True,,2,3,0,False,0
bigbluebutton,73,HTML5 Server,partial_name,1,word only,server,False,,3,58,1,False,0
bigbluebutton,74,WebRTC-SFU,partial_name,0,word only,WebRTC,True,,2,4,0,False,0
bigbluebutton,75,Presentation Conversion,partial_name,0,word only,presentation,False,,2,-1,0,False,0
bigbluebutton,76,HTML5 Client,partial_name,1,word only,client,False,,5,4,0,False,0
bigbluebutton,76,Presentation Conversion,partial_name,0,word only,presentations,False,,2,-1,0,False,0
bigbluebutton,77,Presentation Conversion,partial_name,0,word only,presentation,False,,2,-1,0,False,0
bigbluebutton,78,BBB web,partial_name,1,word only,bbb,False,,1,42,0,False,0
bigbluebutton,79,HTML5 Client,partial_name,1,word only,client,False,,5,7,0,False,1
bigbluebutton,79,Presentation Conversion,partial_name,0,word only,conversion,False,,2,-1,0,False,1
bigbluebutton,79,Redis PubSub,full_name,1,whole name,Redis pubsub,True,,3,19,1,False,0
bigbluebutton,80,Presentation Conversion,full_name,1,whole name,Presentation conversion,True,,1,-1,0,False,0
bigbluebutton,81,Presentation Conversion,full_name,1,whole name,presentation conversion,False,,1,1,0,False,0
bigbluebutton,82,Presentation Conversion,partial_name,0,word only,conversion,False,,2,1,0,False,0
bigbluebutton,83,Presentation Conversion,partial_name,0,word only,conversion,False,,2,2,0,False,0
bigbluebutton,84,Presentation Conversion,partial_name,0,word only,conversion,False,,2,3,0,False,0
jabref,1,gui,full_name,1,whole name,gui,False,,3,-1,0,False,2
jabref,1,logic,full_name,1,whole name,logic,False,,4,-1,0,False,2
jabref,1,model,full_name,1,whole name,model,False,,5,-1,0,False,2
jabref,2,cli,full_name,1,whole name,cli,False,,1,-1,0,False,1
jabref,2,preferences,full_name,1,whole name,preferences,False,,2,-1,0,False,1
jabref,4,gui,full_name,1,whole name,gui,False,,3,3,0,False,2
jabref,4,logic,full_name,1,whole name,logic,False,,4,3,0,False,2
jabref,4,model,full_name,1,whole name,model,False,,5,3,0,False,2
jabref,5,logic,full_name,0,whole name,logic,False,,4,1,0,False,1
jabref,5,model,full_name,1,whole name,model,False,,5,1,0,False,1
jabref,6,gui,full_name,1,whole name,gui,False,,3,2,0,False,2
jabref,6,logic,full_name,1,whole name,logic,False,,4,1,0,False,2
jabref,6,model,full_name,1,whole name,model,False,,5,1,0,False,2
jabref,7,gui,full_name,1,whole name,gui,False,,3,1,0,False,1
jabref,7,preferences,full_name,0,whole name,preferences,False,,2,5,0,False,1
jabref,9,logic,full_name,1,whole name,logic,False,,4,3,0,False,1
jabref,9,model,full_name,1,whole name,model,False,,5,3,0,False,1
jabref,10,cli,full_name,1,whole name,cli,False,,1,8,0,False,0
jabref,11,preferences,full_name,1,whole name,preferences,False,,2,4,0,False,0
jabref,12,model,full_name,1,whole name,model,False,,5,3,0,False,0
