project,sentence_id,target_id,component,reference_form,evidence,ours,artemis,swattr,our_linker,sentence
bigbluebutton,47,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,F2 partial-name,exact:server,1,0,1,partial_name,Redis PubSub provides a communication channel between different applications running on the BigBlueButton server.
bigbluebutton,48,_RDHFIFwPEeyiuNx_RO7j-Q,Redis DB,F1 exact-name,"[verbatim] exact:redis,db",1,1,1,full_name,Redis DB.
bigbluebutton,49,_RDHFIFwPEeyiuNx_RO7j-Q,Redis DB,F1 exact-name,"[verbatim] exact:redis,db",1,1,1,full_name,"When a meeting is recorded, all events are stored in Redis DB."
bigbluebutton,51,_XuNf4FkJEeyewPSmlgszyA,Apps,F1 exact-name,[verbatim] exact:apps,1,1,1,full_name,Apps akka.
bigbluebutton,52,_XuNf4FkJEeyewPSmlgszyA,Apps,F1 exact-name,[verbatim] exact:apps,1,1,1,full_name,BigBlueButton Apps is the main application that pulls together the different applications to provide real-time collaboration in the meeting.
bigbluebutton,53,_XuNf4FkJEeyewPSmlgszyA,Apps,F3 coreferent,ctx:[verbatim] exact:apps,1,1,0,coreference,"It provides the list of users, chat, whiteboard, presentations in a meeting."
bigbluebutton,54,_XuNf4FkJEeyewPSmlgszyA,Apps,F1 exact-name,[verbatim] exact:apps,1,1,1,full_name,Below is a diagram of the different components of Apps Akka.
bigbluebutton,57,_9wZIcFkHEeyewPSmlgszyA,FSESL,F1 exact-name,[verbatim] exact:fsesl,1,1,1,full_name,FSESL akka.
bigbluebutton,58,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,F1 exact-name,[verbatim]  stem:free,1,1,1,full_name,We have extracted out the component that integrates with FreeSWITCH into it’s own application.
bigbluebutton,59,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,F1 exact-name,[verbatim]  stem:free,1,1,1,full_name,This allows others who are using voice conference systems other than FreeSWITCH to easily create their own integration.
bigbluebutton,60,_6sergFkHEeyewPSmlgszyA,Redis PubSub,F1 exact-name,[verbatim] exact:redis,1,1,1,full_name,Communication between apps and FreeSWITCH Event Socket Layer (fsels) uses messages through redis pubsub.
bigbluebutton,60,_9wZIcFkHEeyewPSmlgszyA,FSESL,F3 coreferent,ctx:[verbatim] exact:fsesl,1,1,0,full_name,Communication between apps and FreeSWITCH Event Socket Layer (fsels) uses messages through redis pubsub.
bigbluebutton,60,_XuNf4FkJEeyewPSmlgszyA,Apps,F1 exact-name,[verbatim] exact:apps,1,1,1,full_name,Communication between apps and FreeSWITCH Event Socket Layer (fsels) uses messages through redis pubsub.
bigbluebutton,61,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,F1 exact-name,[verbatim]  stem:free,1,1,1,full_name,FreeSWITCH.
bigbluebutton,62,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,F1 exact-name,[verbatim]  stem:free,1,1,1,full_name,We think FreeSWITCH is an amazing piece of software for handling audio.
bigbluebutton,63,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,F1 exact-name,[verbatim]  stem:free,1,1,1,full_name,FreeSWITCH provides the voice conferencing capability in BigBlueButton.
bigbluebutton,65,_s0aIcFkHEeyewPSmlgszyA,WebRTC-SFU,F4 renamed,—,1,0,1,partial_name,Users joining through Google Chrome or Mozilla Firefox are able to take advantage of higher quality audio by connecting using WebRTC.
bigbluebutton,66,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,F1 exact-name,[verbatim]  stem:free,1,1,1,full_name,FreeSWITCH can also be integrated with VOIP providers so that users who are not able to join using the headset will be able to call in using their phone.
bigbluebutton,67,_oN4CMFkHEeyewPSmlgszyA,kurento,F1 exact-name,[verbatim] exact:kurento,1,1,1,full_name,Kurento and WebRTC-SFU.
bigbluebutton,67,_s0aIcFkHEeyewPSmlgszyA,WebRTC-SFU,F1 exact-name,[verbatim] exact:sfu,1,1,1,full_name,Kurento and WebRTC-SFU.
bigbluebutton,68,_oN4CMFkHEeyewPSmlgszyA,kurento,F1 exact-name,[verbatim] exact:kurento,1,1,1,full_name,Kurento Media Server KMS is a media server that implements both SFU and MCU models.
bigbluebutton,69,_oN4CMFkHEeyewPSmlgszyA,kurento,F3 coreferent,ctx:[verbatim] exact:kurento,1,0,0,full_name,"KMS is responsible for streaming of webcams, listen-only audio, and screensharing."
bigbluebutton,70,_s0aIcFkHEeyewPSmlgszyA,WebRTC-SFU,F1 exact-name,[verbatim] exact:sfu,1,0,1,full_name,The WebRTC-SFU acts as the media controller handling negotiations and to manage the media streams.
bigbluebutton,72,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,F1 exact-name,[verbatim] exact:client stem:html,1,1,0,full_name,A user can join the voice conference (running in FreeSWITCH) from the BigBlueButton HTML5 client or through the phone.
bigbluebutton,72,_nwrCMFwPEeyiuNx_RO7j-Q,FreeSWITCH,F1 exact-name,[verbatim]  stem:free,1,1,1,full_name,A user can join the voice conference (running in FreeSWITCH) from the BigBlueButton HTML5 client or through the phone.
bigbluebutton,73,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,F2 partial-name,exact:client,1,1,0,partial_name,"When joining through the client, the user can choose to join Microphone or Listen Only, and the BigBlueButton client will make an audio connection to the server via WebRTC."
bigbluebutton,73,_s0aIcFkHEeyewPSmlgszyA,WebRTC-SFU,F3 coreferent,ctx:[verbatim] exact:sfu,1,0,1,partial_name,"When joining through the client, the user can choose to join Microphone or Listen Only, and the BigBlueButton client will make an audio connection to the server via WebRTC."
bigbluebutton,73,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,F2 partial-name,exact:server,1,0,1,partial_name,"When joining through the client, the user can choose to join Microphone or Listen Only, and the BigBlueButton client will make an audio connection to the server via WebRTC."
bigbluebutton,76,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,F2 partial-name,exact:client,1,0,0,partial_name,Uploaded presentations go through a conversion process in order to be displayed inside the client.
bigbluebutton,78,_4yx-8FkHEeyewPSmlgszyA,BBB web,F1 exact-name,"[verbatim] exact:web,bbb",0,1,1,full_name,The PDF document is then converted into scalable vector graphics (SVG) via bbb-web.
bigbluebutton,79,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,F2 partial-name,exact:client,1,0,0,partial_name,The conversion process sends progress messages to the client through the Redis pubsub.
bigbluebutton,79,_6sergFkHEeyewPSmlgszyA,Redis PubSub,F1 exact-name,[verbatim] exact:redis,1,1,1,full_name,The conversion process sends progress messages to the client through the Redis pubsub.
bigbluebutton,80,_2BgxMFkHEeyewPSmlgszyA,Presentation Conversion,F1 exact-name,"[verbatim] exact:presentation,conversion",1,1,1,full_name,Presentation conversion flow.
bigbluebutton,81,_2BgxMFkHEeyewPSmlgszyA,Presentation Conversion,F1 exact-name,"[verbatim] exact:presentation,conversion",1,1,1,full_name,The diagram below describes the flow of the presentation conversion.
jabref,1,_Coy0kEl4Ee243f2e4VWs6w,gui,F1 exact-name,[verbatim] exact:gui,1,1,1,full_name,"We have been successfully transitioning from a spaghetti to a more structured architecture with the model in the center, and the logic as an intermediate layer towards the gui which is the outer shell."
jabref,1,_He3LoEl4Ee243f2e4VWs6w,logic,F1 exact-name,[verbatim] exact:logic,1,1,1,full_name,"We have been successfully transitioning from a spaghetti to a more structured architecture with the model in the center, and the logic as an intermediate layer towards the gui which is the outer shell."
jabref,1,_MFIzMEl4Ee243f2e4VWs6w,model,F1 exact-name,[verbatim] exact:model,1,1,1,full_name,"We have been successfully transitioning from a spaghetti to a more structured architecture with the model in the center, and the logic as an intermediate layer towards the gui which is the outer shell."
jabref,2,_EBiwMEl4Ee243f2e4VWs6w,cli,F1 exact-name,[verbatim] exact:cli,1,1,1,full_name,There are additional utility packages for preferences and the cli.
jabref,2,_NUdtEEl4Ee243f2e4VWs6w,preferences,F1 exact-name,[verbatim] exact:preferences,1,1,1,full_name,There are additional utility packages for preferences and the cli.
jabref,4,_Coy0kEl4Ee243f2e4VWs6w,gui,F1 exact-name,[verbatim] exact:gui,1,1,1,full_name,"We have JUnit tests to detect violations of the most crucial dependencies (between logic, model, and gui), and the build will fail automatically in these cases."
jabref,4,_He3LoEl4Ee243f2e4VWs6w,logic,F1 exact-name,[verbatim] exact:logic,1,1,1,full_name,"We have JUnit tests to detect violations of the most crucial dependencies (between logic, model, and gui), and the build will fail automatically in these cases."
jabref,4,_MFIzMEl4Ee243f2e4VWs6w,model,F1 exact-name,[verbatim] exact:model,1,1,1,full_name,"We have JUnit tests to detect violations of the most crucial dependencies (between logic, model, and gui), and the build will fail automatically in these cases."
jabref,5,_MFIzMEl4Ee243f2e4VWs6w,model,F1 exact-name,[verbatim] exact:model,1,1,1,full_name,"The model represents the most important data structures (BibDatases, BibEntries, Events, and related aspects) and has only a little bit of logic attached."
jabref,6,_Coy0kEl4Ee243f2e4VWs6w,gui,F1 exact-name,[verbatim] exact:gui,1,1,1,full_name,"The logic is responsible for reading/writing/importing/exporting and manipulating the model, and it is structured often as an API the gui can call and use."
jabref,6,_He3LoEl4Ee243f2e4VWs6w,logic,F1 exact-name,[verbatim] exact:logic,1,1,1,full_name,"The logic is responsible for reading/writing/importing/exporting and manipulating the model, and it is structured often as an API the gui can call and use."
jabref,6,_MFIzMEl4Ee243f2e4VWs6w,model,F1 exact-name,[verbatim] exact:model,1,1,1,full_name,"The logic is responsible for reading/writing/importing/exporting and manipulating the model, and it is structured often as an API the gui can call and use."
jabref,7,_Coy0kEl4Ee243f2e4VWs6w,gui,F1 exact-name,[verbatim] exact:gui,1,1,1,full_name,Only the gui knows the user and his preferences and can interact with him to help him solve tasks.
jabref,9,_He3LoEl4Ee243f2e4VWs6w,logic,F1 exact-name,[verbatim] exact:logic,1,1,1,full_name,The model should have no dependencies to other classes of JabRef and the logic should only depend on model classes.
jabref,9,_MFIzMEl4Ee243f2e4VWs6w,model,F1 exact-name,[verbatim] exact:model,1,1,1,full_name,The model should have no dependencies to other classes of JabRef and the logic should only depend on model classes.
jabref,10,_EBiwMEl4Ee243f2e4VWs6w,cli,F1 exact-name,[verbatim] exact:cli,1,1,1,full_name,The cli package bundles classes that are responsible for JabRef’s command line interface.
jabref,11,_NUdtEEl4Ee243f2e4VWs6w,preferences,F1 exact-name,[verbatim] exact:preferences,1,1,1,full_name,The preferences represents all information customizable by a user for her personal needs.
jabref,12,_MFIzMEl4Ee243f2e4VWs6w,model,F1 exact-name,[verbatim] exact:model,1,1,1,full_name,We use an event bus to publish events from the model to the other layers.
