system,side,failure_mode,project,sentence_id,component,sentence
ours,FP,M7 non-architectural mention,teammates,173,Test Driver,x.testdriver contains component test cases for testing the test driver infrastructure an
ours,FP,M7 non-architectural mention,bigbluebutton,5,WebRTC-SFU,"The HTML5 client is a single page, responsive web application that is built upon the fol"
ours,FP,M7 non-architectural mention,bigbluebutton,18,HTML5 Server,"Because nodejs was running on a single CPU core, having a 16 or 32 CPU core server for B"
ours,FP,M7 non-architectural mention,bigbluebutton,50,Recording Service,"When the meeting ends, the Recording Processor will take all the recorded events as well"
ours,FP,M7 non-architectural mention,bigbluebutton,60,FreeSWITCH,Communication between apps and FreeSWITCH Event Socket Layer (fsels) uses messages throu
ours,FP,M7 non-architectural mention,bigbluebutton,68,WebRTC-SFU,Kurento Media Server KMS is a media server that implements both SFU and MCU models.
ours,FP,M7 non-architectural mention,bigbluebutton,68,HTML5 Server,Kurento Media Server KMS is a media server that implements both SFU and MCU models.
artemis,FN,M2 code identifier,bigbluebutton,70,WebRTC-SFU,The WebRTC-SFU acts as the media controller handling negotiations and to manage the medi
artemis,FN,M3 ordinary vocabulary,teammates,7,Logic,In the UI Server the entry point for the application back end logic is designed as a RES
artemis,FN,M3 ordinary vocabulary,teammates,8,Logic,The main logic of the application is in POJOs (Plain Old Java Objects).
artemis,FN,M3 ordinary vocabulary,teammates,9,Storage,The storage layer of the application uses the persistence framework provided by GAE Data
artemis,FN,M3 ordinary vocabulary,teammates,131,Logic,storage.api provides the API of the component to be accessed by the logic component.
artemis,FN,M3 ordinary vocabulary,teammates,185,Logic,The E2E component has no knowledge of the internal workings of the application and can o
artemis,FN,M8 partial-name reach,teammates,122,GAE Datastore,Hiding the complexities of datastore from the Logic component.
artemis,FN,M8 partial-name reach,teammates,138,GAE Datastore,Add and Delete operations try to wait until data is persisted in the datastore before re
artemis,FN,M8 partial-name reach,teammates,141,GAE Datastore,Eventual consistency here means it takes some time for a database operation to propagate
artemis,FN,M8 partial-name reach,bigbluebutton,6,HTML5 Server,"The HTML5 client connects directly with the BigBlueButton server over port 443 (SSL), fr"
artemis,FN,M8 partial-name reach,bigbluebutton,10,HTML5 Client,"The MongoDB database contains information about all meetings on the server and, in turn,"
artemis,FN,M8 partial-name reach,bigbluebutton,10,HTML5 Server,"The MongoDB database contains information about all meetings on the server and, in turn,"
artemis,FN,M8 partial-name reach,bigbluebutton,11,HTML5 Client,"Each user's client is only aware of the their meeting's state, such the user's public an"
artemis,FN,M8 partial-name reach,bigbluebutton,12,HTML5 Client,The client side subscribes to the published collections on the server side.
artemis,FN,M8 partial-name reach,bigbluebutton,12,HTML5 Server,The client side subscribes to the published collections on the server side.
artemis,FN,M8 partial-name reach,bigbluebutton,13,HTML5 Client,Updates to MongoDB on the server side are automatically pushed to MiniMongo on the clien
artemis,FN,M8 partial-name reach,bigbluebutton,13,HTML5 Server,Updates to MongoDB on the server side are automatically pushed to MiniMongo on the clien
artemis,FN,M8 partial-name reach,bigbluebutton,19,HTML5 Client,BigBlueButton 2.3 moves away from a single nodejs process for bbb-html5 towards multiple
artemis,FN,M8 partial-name reach,bigbluebutton,39,HTML5 Server,The BigBlueButton API provides a third-party integration (such as the BigBlueButtonBN pl
artemis,FN,M8 partial-name reach,bigbluebutton,47,HTML5 Server,Redis PubSub provides a communication channel between different applications running on 
artemis,FN,M8 partial-name reach,bigbluebutton,73,HTML5 Server,"When joining through the client, the user can choose to join Microphone or Listen Only, "
artemis,FN,M8 partial-name reach,bigbluebutton,76,HTML5 Client,Uploaded presentations go through a conversion process in order to be displayed inside t
artemis,FN,M8 partial-name reach,bigbluebutton,79,HTML5 Client,The conversion process sends progress messages to the client through the Redis pubsub.
artemis,FN,M9 coreference reach,mediastore,33,DB,"By contrast, all audio files are stored in a specific location (e.g., a dedicated file s"
artemis,FN,M9 coreference reach,teammates,19,Client,"It is used for administrative purposes, e.g. migrating data to a new schema."
artemis,FN,M9 coreference reach,teammates,78,Logic,"In particular, it is responsible for the following."
artemis,FN,M9 coreference reach,teammates,119,Storage,It contains minimal logic beyond what is directly relevant to CRUD operations.
artemis,FN,M9 coreference reach,teammates,120,Storage,"In particular, it is reponsible for the following."
artemis,FN,M9 coreference reach,bigbluebutton,69,kurento,"KMS is responsible for streaming of webcams, listen-only audio, and screensharing."
artemis,FN,M9 coreference reach,bigbluebutton,73,WebRTC-SFU,"When joining through the client, the user can choose to join Microphone or Listen Only, "
artemis,FN,M10 renaming reach,bigbluebutton,65,WebRTC-SFU,Users joining through Google Chrome or Mozilla Firefox are able to take advantage of hig
artemis,FN,M11 plain name miss,teastore,10,WebUI,The Image Provider delivers images to the WebUI as base64 encoded strings to embed them 
artemis,FN,M11 plain name miss,teammates,9,GAE Datastore,The storage layer of the application uses the persistence framework provided by GAE Data
artemis,FN,M11 plain name miss,teammates,20,Common,"The Common component contains utility code (data transfer objects, helper classes, etc.)"
artemis,FN,M11 plain name miss,teammates,85,UI,logic.api provides the API of the component to be accessed by the UI.
artemis,FN,M11 plain name miss,teammates,97,Logic,The UI is expected to check access control (using GateKeeper class) before calling a met
artemis,FN,M11 plain name miss,teammates,101,Storage,Entity already exists throws EntityAlreadyExistsException (escalated from Storage level)
artemis,FN,M11 plain name miss,teammates,137,GAE Datastore,These classes act as the bridge to the GAE Datastore.
artemis,FP,M3 ordinary vocabulary,jabref,7,preferences,Only the gui knows the user and his preferences and can interact with him to help him so
artemis,FP,M4 topic drift,mediastore,21,Reencoding,This can result in reduction of file sizes.
artemis,FP,M4 topic drift,teastore,4,WebUI,Data is retrieved from the PersistenceProvider and product recommendations from the Reco
artemis,FP,M4 topic drift,teastore,9,WebUI,The status view lists the instance count and hosts for all registered service instances.
artemis,FP,M4 topic drift,teastore,19,Auth,Passwords are hashed using BCrypt.
artemis,FP,M4 topic drift,teastore,20,Auth,"To validate sessions, the SessionBlob is salted and hashed using SHA512 and stored in a "
artemis,FP,M4 topic drift,teastore,21,Auth,"When a SessionBlob is received, the cookie content is re-salted and checked against the "
artemis,FP,M4 topic drift,teastore,29,Recommender,"Recommendations are generated based on the users current shopping cart, the user's previ"
artemis,FP,M4 topic drift,teastore,30,Recommender,The item rating of the users are based on their purchases.
artemis,FP,M4 topic drift,teastore,31,Recommender,"If the current user is unknown (e.g., if the user is not logged in or did not purchase a"
artemis,FP,M4 topic drift,teastore,39,Registry,Services are also required to send a heartbeat signal by re-registering periodically.
artemis,FP,M4 topic drift,teastore,40,Registry,Services missing their heartbeat for more than 10 s are assumed to be offline until the 
artemis,FP,M4 topic drift,bigbluebutton,58,FSESL,We have extracted out the component that integrates with FreeSWITCH into it’s own applic
artemis,FP,M4 topic drift,bigbluebutton,59,FSESL,This allows others who are using voice conference systems other than FreeSWITCH to easil
artemis,FP,M4 topic drift,jabref,3,model,The dependencies are only directed towards the center.
artemis,FP,M4 topic drift,jabref,8,gui,"For each layer, we form packages according to their responsibility, i.e., vertical struc"
artemis,FP,M4 topic drift,jabref,8,logic,"For each layer, we form packages according to their responsibility, i.e., vertical struc"
artemis,FP,M4 topic drift,jabref,8,model,"For each layer, we form packages according to their responsibility, i.e., vertical struc"
artemis,FP,M5 wrong antecedent,bigbluebutton,78,Presentation Conversion,The PDF document is then converted into scalable vector graphics (SVG) via bbb-web.
artemis,FP,M6 unanchored invention,mediastore,16,AudioWatermarking,The re-encoded files are then digitally and individually watermarked by the TagWatermark
artemis,FP,M6 unanchored invention,mediastore,16,ParallelWatermarking,The re-encoded files are then digitally and individually watermarked by the TagWatermark
artemis,FP,M6 unanchored invention,mediastore,17,ParallelWatermarking,"Afterward, the MediaManagement component forwards these audio files from the TagWatermar"
artemis,FP,M6 unanchored invention,teastore,32,Recommender,"If the user is known, Slope One as item-based collaborative filtering is applied to calc"
artemis,FP,M6 unanchored invention,teastore,33,Recommender,We implemented two versions of the algorithm.
artemis,FP,M6 unanchored invention,teastore,34,Recommender,"One CPU-intensive, calculating the item-rankings per user on-the-go and one memory-inten"
artemis,FP,M6 unanchored invention,teastore,35,Recommender,"Furthermore, one order-based nearest-neighbor approach is available."
artemis,FP,M6 unanchored invention,teastore,36,Recommender,Its recommendation time is dependent on the number of items in the current cart as well 
artemis,FP,M6 unanchored invention,bigbluebutton,30,kurento,"If more than one backend is running, bbb-web splits the load in round-robin fashion by a"
artemis,FP,M6 unanchored invention,bigbluebutton,42,WebRTC-SFU,BigBlueButton comes with its own front-end called Greenlight.
artemis,FP,M7 non-architectural mention,mediastore,17,AudioWatermarking,"Afterward, the MediaManagement component forwards these audio files from the TagWatermar"
artemis,FP,M7 non-architectural mention,teastore,13,ImageProvider,"If the product ID or UI name is found but not in the requested size, the largest image w"
artemis,FP,M7 non-architectural mention,teastore,14,ImageProvider,The scaled image is stored for later use.
artemis,FP,M7 non-architectural mention,teastore,15,ImageProvider,"If the product ID or UI name and size is found, the image will be loaded and delivered."
artemis,FP,M7 non-architectural mention,teastore,16,ImageProvider,"To speed up image delivery, an in-memory cache with Least Frequently Used (LFU) replacem"
artemis,FP,M7 non-architectural mention,teastore,17,ImageProvider,"Before loading an image from the physical drive, a cache lookup will be performed and if"
artemis,FP,M7 non-architectural mention,teammates,17,E2E,Selenium Java is used to automate E2E testing with actual Web browsers.
artemis,FP,M7 non-architectural mention,teammates,188,E2E,e2e.util contains helpers needed for running E2E tests.
artemis,FP,M7 non-architectural mention,bigbluebutton,53,Presentation Conversion,"It provides the list of users, chat, whiteboard, presentations in a meeting."
artemis,FP,M7 non-architectural mention,bigbluebutton,60,FreeSWITCH,Communication between apps and FreeSWITCH Event Socket Layer (fsels) uses messages throu
artemis,FP,M7 non-architectural mention,bigbluebutton,76,Presentation Conversion,Uploaded presentations go through a conversion process in order to be displayed inside t
artemis,FP,M7 non-architectural mention,bigbluebutton,79,Presentation Conversion,The conversion process sends progress messages to the client through the Redis pubsub.
artemis,FP,M7 non-architectural mention,bigbluebutton,82,Presentation Conversion,"We take in consideration the configuration for enabling and disabling SWF, SVG and PNG c"
artemis,FP,M7 non-architectural mention,bigbluebutton,83,Presentation Conversion,Then below the SVG conversion flow.
artemis,FP,M7 non-architectural mention,bigbluebutton,84,Presentation Conversion,It covers the conversion fallback.
swattr,FN,M2 code identifier,bigbluebutton,19,HTML5 Server,BigBlueButton 2.3 moves away from a single nodejs process for bbb-html5 towards multiple
swattr,FN,M2 code identifier,bigbluebutton,20,HTML5 Server,This means that bbb-html5 could use multiple CPU cores for processing messages and handl
swattr,FN,M2 code identifier,bigbluebutton,21,HTML5 Server,"As of 2.3-alpha-7, bbb-html5 uses 2 ""frontend"" and two ""backend"" processes (this value i"
swattr,FN,M8 partial-name reach,mediastore,33,FileStorage,"By contrast, all audio files are stored in a specific location (e.g., a dedicated file s"
swattr,FN,M8 partial-name reach,mediastore,35,FileStorage,"Afterwards, based on the user request and the corresponding meta-data, the file will be "
swattr,FN,M8 partial-name reach,mediastore,36,FileStorage,"When a user uploads a file, it will be stored in the DataStorage without any change."
swattr,FN,M8 partial-name reach,teastore,8,WebUI,The UI provides a status page at link indicating the current state of the TeaStore.
swattr,FN,M8 partial-name reach,teastore,11,ImageProvider,It matches the provided product ID or UI name (the filename for images not representing 
swattr,FN,M8 partial-name reach,teammates,122,GAE Datastore,Hiding the complexities of datastore from the Logic component.
swattr,FN,M8 partial-name reach,teammates,138,GAE Datastore,Add and Delete operations try to wait until data is persisted in the datastore before re
swattr,FN,M8 partial-name reach,teammates,141,GAE Datastore,Eventual consistency here means it takes some time for a database operation to propagate
swattr,FN,M8 partial-name reach,teammates,168,Test Driver,This component automates the testing of TEAMMATES.
swattr,FN,M8 partial-name reach,bigbluebutton,9,HTML5 Client,The HTML5 server is built upon Meteor.js in ECMA2015 for communication between client an
swattr,FN,M8 partial-name reach,bigbluebutton,10,HTML5 Client,"The MongoDB database contains information about all meetings on the server and, in turn,"
swattr,FN,M8 partial-name reach,bigbluebutton,11,HTML5 Client,"Each user's client is only aware of the their meeting's state, such the user's public an"
swattr,FN,M8 partial-name reach,bigbluebutton,12,HTML5 Client,The client side subscribes to the published collections on the server side.
swattr,FN,M8 partial-name reach,bigbluebutton,13,HTML5 Client,Updates to MongoDB on the server side are automatically pushed to MiniMongo on the clien
swattr,FN,M8 partial-name reach,bigbluebutton,19,HTML5 Client,BigBlueButton 2.3 moves away from a single nodejs process for bbb-html5 towards multiple
swattr,FN,M8 partial-name reach,bigbluebutton,37,BBB web,BigBlueButton web application is a Java-based application written in Scala.
swattr,FN,M8 partial-name reach,bigbluebutton,73,HTML5 Client,"When joining through the client, the user can choose to join Microphone or Listen Only, "
swattr,FN,M8 partial-name reach,bigbluebutton,76,HTML5 Client,Uploaded presentations go through a conversion process in order to be displayed inside t
swattr,FN,M8 partial-name reach,bigbluebutton,79,HTML5 Client,The conversion process sends progress messages to the client through the Redis pubsub.
swattr,FN,M9 coreference reach,mediastore,9,MediaManagement,"Furthermore, it fetches audio files from a specific location (e.g., a dedicated file ser"
swattr,FN,M9 coreference reach,mediastore,28,MediaAccess,"Furthermore, it fetches a list of all available audio files."
swattr,FN,M9 coreference reach,mediastore,31,DB,The Database component then executes the actual query for files.
swattr,FN,M9 coreference reach,mediastore,32,DB,All salted hashes of passwords are also stored in the Database component.
swattr,FN,M9 coreference reach,mediastore,33,DB,"By contrast, all audio files are stored in a specific location (e.g., a dedicated file s"
swattr,FN,M9 coreference reach,teastore,6,WebUI,It contains logic to save and retireve values from cookies.
swattr,FN,M9 coreference reach,teastore,23,Persistence,It maps the relational entities to the JSON entity objects passed between services using
swattr,FN,M9 coreference reach,teastore,24,Persistence,"It features endpoints for general CRUD-Operations (Create, Read, Update, Delete) for the"
swattr,FN,M9 coreference reach,teastore,26,Persistence,"As such, it also acts as a caching layer."
swattr,FN,M9 coreference reach,teastore,28,Recommender,It is trained using all existing orders.
swattr,FN,M9 coreference reach,teammates,19,Client,"It is used for administrative purposes, e.g. migrating data to a new schema."
swattr,FN,M9 coreference reach,teammates,78,Logic,"In particular, it is responsible for the following."
swattr,FN,M9 coreference reach,teammates,119,Storage,It contains minimal logic beyond what is directly relevant to CRUD operations.
swattr,FN,M9 coreference reach,teammates,120,Storage,"In particular, it is reponsible for the following."
swattr,FN,M9 coreference reach,bigbluebutton,38,BBB web,It implements the BigBlueButton API and holds a copy of the meeting state.
swattr,FN,M9 coreference reach,bigbluebutton,53,Apps,"It provides the list of users, chat, whiteboard, presentations in a meeting."
swattr,FN,M9 coreference reach,bigbluebutton,60,FSESL,Communication between apps and FreeSWITCH Event Socket Layer (fsels) uses messages throu
swattr,FN,M9 coreference reach,bigbluebutton,69,kurento,"KMS is responsible for streaming of webcams, listen-only audio, and screensharing."
swattr,FN,M10 renaming reach,mediastore,20,Reencoding,The ReEncoder component converts the bit rates of audio files.
swattr,FN,M10 renaming reach,mediastore,23,DB,"The Database component represents an actual database (e.g., MySQL)."
swattr,FN,M10 renaming reach,mediastore,24,DB,It stores user information and meta-data of audio files such as the name and the genre.
swattr,FN,M10 renaming reach,mediastore,25,DB,"After the user calls the page to list all available audio files, AudioAccess creates a q"
swattr,FN,M10 renaming reach,mediastore,25,MediaAccess,"After the user calls the page to list all available audio files, AudioAccess creates a q"
swattr,FN,M10 renaming reach,mediastore,34,DB,"When a user requests files to download, the MediaAccess component fetches the associated"
swattr,FN,M11 plain name miss,bigbluebutton,72,HTML5 Client,A user can join the voice conference (running in FreeSWITCH) from the BigBlueButton HTML
swattr,FP,M2 code identifier,teammates,4,Client,"The UI Browser seen by users consists of Web pages containing HTML, CSS for styling and "
swattr,FP,M2 code identifier,teammates,22,UI,"logic, ui.website, ui.controller represent an application of Model-View-Controller patte"
swattr,FP,M2 code identifier,teammates,23,UI,ui.website is not a real package.
swattr,FP,M2 code identifier,teammates,26,UI,ui.website is not a Java package.
swattr,FP,M2 code identifier,teammates,84,Logic,"Package overview contains logic.api, logic.core."
swattr,FP,M2 code identifier,teammates,85,Logic,logic.api provides the API of the component to be accessed by the UI.
swattr,FP,M2 code identifier,teammates,125,Storage,Classes in the storage.entity package are not visible outside this component to hide inf
swattr,FP,M2 code identifier,teammates,127,Common,"These datatransfer classes are in common.datatransfer package, to be explained later."
swattr,FP,M2 code identifier,teammates,130,Storage,"Package overview contains storage.api, storage.entity, storage.search."
swattr,FP,M2 code identifier,teammates,131,Storage,storage.api provides the API of the component to be accessed by the logic component.
swattr,FP,M2 code identifier,teammates,132,Storage,storage.entity contains classes that represent persistable entities.
swattr,FP,M2 code identifier,teammates,133,Storage,storage.search contains classes for dealing with searching and indexing.
swattr,FP,M2 code identifier,teammates,156,Common,"Package overview contains common.util, common.exceptions, common.datatransfer."
swattr,FP,M2 code identifier,teammates,157,Common,common.util contains utility classes.
swattr,FP,M2 code identifier,teammates,158,Common,common.exceptions contains custom exceptions.
swattr,FP,M2 code identifier,teammates,159,Common,common.datatransfer contains data transfer objects.
swattr,FP,M2 code identifier,teammates,160,Common,common.datatransfer package contains lightweight data transfer object classes for transf
swattr,FP,M2 code identifier,teammates,187,E2E,"Package overview contains e2e.util, e2e.pageobjects, e2e.cases, x.util, x.e2e, x.lnp."
swattr,FP,M2 code identifier,teammates,189,E2E,e2e.pageobjects contains abstractions of the pages as they appear on a Browser (i.e. SUT
swattr,FP,M2 code identifier,teammates,190,E2E,e2e.cases contains test cases.
swattr,FP,M2 code identifier,teammates,195,Client,"Package overview contains client.util, client.remoteapi, client.scripts."
swattr,FP,M2 code identifier,teammates,197,Client,client.remoteapi classes needed to connect to the back end directly.
swattr,FP,M2 code identifier,teammates,198,Client,client.scripts scripts that deal with the back end data for administrative purposes.
swattr,FP,M3 ordinary vocabulary,teammates,22,Logic,"logic, ui.website, ui.controller represent an application of Model-View-Controller patte"
swattr,FP,M3 ordinary vocabulary,teammates,79,Logic,"Managing relationships between entities, e.g. cascade logic for create/update/delete."
swattr,FP,M3 ordinary vocabulary,teammates,86,Logic,logic.core contains the core logic of the system.
swattr,FP,M3 ordinary vocabulary,teammates,117,Logic,Refer to the API for the cascade logic.
swattr,FP,M3 ordinary vocabulary,teammates,119,Logic,It contains minimal logic beyond what is directly relevant to CRUD operations.
swattr,FP,M3 ordinary vocabulary,teammates,196,Client,client.util contains helpers needed for client scripts.
swattr,FP,M3 ordinary vocabulary,jabref,5,logic,"The model represents the most important data structures (BibDatases, BibEntries, Events,"
swattr,FP,M3 ordinary vocabulary,jabref,7,preferences,Only the gui knows the user and his preferences and can interact with him to help him so
swattr,FP,M4 topic drift,bigbluebutton,74,WebRTC-SFU,WebRTC provides the user with high-quality audio with lower delay.
swattr,FP,M7 non-architectural mention,mediastore,37,Reencoding,"However, a download can cause re-encoding of the audio file."
swattr,FP,M7 non-architectural mention,teammates,17,E2E,Selenium Java is used to automate E2E testing with actual Web browsers.
swattr,FP,M7 non-architectural mention,teammates,173,Test Driver,x.testdriver contains component test cases for testing the test driver infrastructure an
swattr,FP,M7 non-architectural mention,teammates,188,E2E,e2e.util contains helpers needed for running E2E tests.
swattr,FP,M7 non-architectural mention,bigbluebutton,5,WebRTC-SFU,"The HTML5 client is a single page, responsive web application that is built upon the fol"
swattr,FP,M7 non-architectural mention,bigbluebutton,18,HTML5 Server,"Because nodejs was running on a single CPU core, having a 16 or 32 CPU core server for B"
swattr,FP,M7 non-architectural mention,bigbluebutton,60,FreeSWITCH,Communication between apps and FreeSWITCH Event Socket Layer (fsels) uses messages throu
swattr,FP,M7 non-architectural mention,bigbluebutton,68,HTML5 Server,Kurento Media Server KMS is a media server that implements both SFU and MCU models.
